,Account Name,Minimum Followers,Maximum Followers,Max-min Follower growth (%),Number of mementos,Archival Span (in days),Memento date range,Max-min Follower growth,Memento time covered
0,childrenshealthdefense,71800.0,182000.0,153.48189415041782,2.0,294.0,"('2020-04-26 03:40:32', '2021-02-15 03:19:29')",,
1,highwiretalk,188000.0,188000.0,0.0,1.0,,2020-09-24 02:05:37,,
2,londonrealtv,34200.0,33597.0,973.7296260786193,7.0,1903.0,"('2013-08-10 02:09:29', '2018-10-26 10:53:21')",,
3,robertfkennedyjr,437000.0,798000.0,82.6086956521739,21.0,263.0,"('2020-05-21 06:17:10', '2021-02-08 23:24:54')",,
4,patrickbetdavid,34234.0,599234.0,1650.406029093883,6.0,1619.0,"('2014-04-27 14:40:53', '2018-10-02 17:50:24')",,
5,drbuttar,,,,,,,,
6,picphysicians,,,,,,,,
7,vaccinefreedom,,,,,,,,
8,Valuetainment,,,,,,,,
9,westonaprice,,,,,,,,
