Date,Follower_count,Comment_count,Like_count,Hashtags,Hashtag_count,Mentions,Mention_count
2020-05-21 06:17:10,437000,,,"#WHO,#Gupta,#Fauci,#COVID,#Pharma,#FDA,#Gates,#1,#5G,#BillGates,#Fauci,#surveillance,#stopbillgates,#Monsanto,#Roundup",15,"@thisisbillgates,@eastonct.gov,@thisisbillgates,@doc.fauci,@thisisbillgates,@jonilamb,@marcuslamb,@highwiretalk,@highwiretalk,@drsanjaygupta,@childrenshealthdefense,@andersoncooper,@CNN,@alecbaldwininsta,@WaterkeeperAlliance,@ChildrensHealthDefense",16
2020-08-27 03:51:43,589000,,,"#Monsanto,#Roundup",2,"@mskyrakennedy,@FoodandWaterWatch,@FoodAndWaterwatch,@fluorideActionNetwork,@baumhedlundlaw,@WaterkeeperAlliance,@ChildrensHealthDefense",7
2020-09-25 17:13:31,680000,,,"#NOFORCEDFLUSHOTS,#STRONGERTOGETHER,#Murdoch,#Australia,#Lushsux,#Monsanto,#Roundup",7,"@childrenshealthdefense,@thenantucketproject,@miketyson,@hotboxinpodcast,@_cherylhines,@childrenshealthdefense,@stillmanmd,@Lushsux,@WaterkeeperAlliance,@ChildrensHealthDefense",10
2020-10-02 11:26:31,696000,,,"#NOFORCEDFLUSHOTS,#STRONGERTOGETHER,#Monsanto,#Roundup",4,"@childrenshealthdefense,@sharkallies,@arakmu.ac.in,@childrenshealthdefense,@thenantucketproject,@HotboxinPodcast,@MikeTyson,@ChildrensHealthDefense,@stillmanmd,@WaterkeeperAlliance,@ChildrensHealthDefense",11
2020-10-04 07:24:15,699000,,,"#Monsanto,#Roundup",2,"@RobertFKennedyJr,@childrenshealthdefense,@sharkallies,@arakmu.ac.in,@childrenshealthdefense,@thenantucketproject,@HotboxinPodcast,@MikeTyson,@ChildrensHealthDefense,@WaterkeeperAlliance,@ChildrensHealthDefense",11
2020-10-13 13:24:21,702000,,,"#sharks,#squalene,#5G,#Monsanto,#Roundup",5,"@RobertFKennedyJr,@RobertFKennedyJr,@childrenshealthdefense.org,@thenantucketproject,@WaterkeeperAlliance,@ChildrensHealthDefense",6
2020-10-18 09:04:07,703000,,,"#sharks,#squalene,#5G,#Monsanto,#Roundup",5,"@RobertFKennedyJr,@childrenshealthdefense.org,@WaterkeeperAlliance,@ChildrensHealthDefense",4
2020-11-02 00:33:46,706000,,,"#HorseshoeCrab,#arthropod,#Limulus,#Xiphosura,#amebocyte,#lysate,#ChildrensHealthDefense,#Monsanto,#Roundup",9,"@JonHamm_Officially,@daystar,@childrenshealthdefense,@Daystar,@childrenshealthdefense,@StevieNicks,@ChildrensHealthDefense,@WaterkeeperAlliance,@ChildrensHealthDefense",9
2020-11-06 15:25:39,708000,,,"#HorseshoeCrab,#arthropod,#Limulus,#Xiphosura,#amebocyte,#lysate,#Monsanto,#Roundup",8,"@AwakenWithJP,@JonHamm_Officially,@Daystar,@childrenshealthdefense,@StevieNicks,@WaterkeeperAlliance,@ChildrensHealthDefense",7
2020-11-11 05:30:10,709000,,,"#Monsanto,#Roundup",2,"@childrenshealthdefense,@AwakenWithJP,@JonHamm_Officially,@Daystar,@childrenshealthdefense,@StevieNicks,@WaterkeeperAlliance,@ChildrensHealthDefense",8
2020-11-15 05:00:43,710000,,,"#TheoVon,#ThisPastWeekend,#podcastville,#Monsanto,#Roundup",5,"@TheoVon,@RealNickDavis,@ThisPastWeekend_,@childrenshealthdefense,@AwakenWithJP,@JonHamm_Officially,@WaterkeeperAlliance,@ChildrensHealthDefense",8
2020-12-01 15:32:35,724000,,,"#cindygesner,#peterfarrelly,#rorygesner,#TheDefender,#TheoVon,#ThisPastWeekend,#podcastville,#Monsanto,#Roundup",9,"@thesolarireport,@TheoVon,@RealNickDavis,@ThisPastWeekend_,@WaterkeeperAlliance,@ChildrensHealthDefense",6
2020-12-03 10:25:34,726000,,,"#GIVINGTUESDAY,#GI,#GivingTuesday,#cindygesner,#peterfarrelly,#rorygesner,#Monsanto,#Roundup",8,"@ChildrensHealthDefense,@thesolarireport,@WaterkeeperAlliance,@ChildrensHealthDefense",4
2020-12-05 17:14:09,729000,,,"#GIVINGTUESDAY,#GI,#GivingTuesday,#cindygesner,#peterfarrelly,#rorygesner,#Monsanto,#Roundup",8,"@CNN,@ChildrensHealthDefense,@thesolarireport,@WaterkeeperAlliance,@ChildrensHealthDefense",5
2020-12-11 03:43:07,740000,,,"#GIVINGTUESDAY,#GI,#GivingTuesday,#Monsanto,#Roundup",5,"@zachbushmd,@rory.kennedy,@raferjohnson.us,@_cherylhines,@RussellBrand,@CNN,@ChildrensHealthDefense,@thesolarireport,@WaterkeeperAlliance,@ChildrensHealthDefense",10
2020-12-16 07:45:41,757000,,,"#NFL,#MyCleatsMyCause,#CarolinaPanthers,#OklahomaState,#RussellOkung,#KaryMullis,#GivingTuesday,#Monsanto,#Roundup",9,"@samarokung,@russellokung,@ChildrensHealthDefense,@RussellOkung,@SamarOkung,@SenRonJohnson,@russellokung,@samarokung,@panthers,@childrenshealthdefense,@Panthers,@RussellOkung,@ChildrensHealthDefense,@zachbushmd,@RussellBrand,@ChildrensHealthDefense,@WaterkeeperAlliance,@ChildrensHealthDefense",18
2020-12-22 20:49:10,776000,,,"#NFL,#MyCleatsMyCause,#CarolinaPanthers,#OklahomaState,#RussellOkung,#Monsanto,#Roundup",7,"@RussellBrand,@childrenshealthdefense,@samarokung,@russellokung,@ChildrensHealthDefense,@RussellOkung,@SamarOkung,@SenRonJohnson,@Panthers,@RussellOkung,@ChildrensHealthDefense,@zachbushmd,@WaterkeeperAlliance,@ChildrensHealthDefense",14
2020-12-26 06:07:42,779000,,,"#NFL,#MyCleatsMyCause,#CarolinaPanthers,#OklahomaState,#RussellOkung,#Monsanto,#Roundup",7,"@_cherylhines,@dafnatachover,@VanMorrisonOfficial,@RussellBrand,@childrenshealthdefense,@samarokung,@russellokung,@ChildrensHealthDefense,@RussellOkung,@SamarOkung,@SenRonJohnson,@Panthers,@RussellOkung,@ChildrensHealthDefense,@WaterkeeperAlliance,@ChildrensHealthDefense",16
2021-01-06 07:58:12,794000,,,"#NFL,#MyCleatsMyCause,#CarolinaPanthers,#OklahomaState,#RussellOkung",5,"@childrenshealthdefense,@_cherylhines,@dafnatachover,@VanMorrisonOfficial,@RussellBrand,@samarokung,@russellokung,@ChildrensHealthDefense,@RussellOkung,@SamarOkung,@SenRonJohnson,@Panthers,@RussellOkung,@ChildrensHealthDefense",14
2021-01-31 14:39:53,796000,,,,0,"@leilacentner,@centneracademy,@centneracademy,@childrenshealthdefense,@RussellBrand,@stillmanmd,@_cherylhines,@_cherylhines,@childrenshealthdefense,@_cherylhines,@dafnatachover,@VanMorrisonOfficial",12
2021-02-08 23:24:54,798000,,,#ColbyStevenson,1,"@russellokung,@samarokung,@panthers,@nfl,@tampabay_superbowl_55,@childrenshealthdefense,@congressmanraja,@michaelfranti,@jasonisbell,@tennesseeriver,@blackfootwhitefoot,@dbtph,@kerrileewalsh,@davidwhiteside,@lyle_lovett,@phish,@wilfredburr,@anacristinacash,@waterkeeperalliance,@waterwheelphish,@thechrisjanson,@aliciasilverstone,@_cherylhines,@jfishman60,@johncartercash,@jacksonbrowne,@bobcatkennedy,@leilacentner,@centneracademy,@centneracademy,@childrenshealthdefense,@RussellBrand,@stillmanmd,@_cherylhines",34
