Date,Follower_count,Comment_count,Like_count,Hashtags,Hashtag_count,Mentions,Mention_count
2015-08-18 18:47:43,63635,237,10057,"#ultraspiritual,#jpsears,#UltraSpiritual,#Narcissist",4,"@kellsbrown_,@mrtnplass,@timothyeisenman,@frankjayporcaro,@danieleisenman,@demkefarm,@yoga.karenwiggins,@xchrisgrossox,@xchrisgrossox,@repostapp,@awakenwithjp,@soundstrue,@glassoboe,@lyndagaia,@freedfilm,@freedfilm",16
2016-07-28 19:22:35,,,,,,,
2016-08-03 04:48:52,,,,,,,
2016-12-23 09:48:49,63635,237,10057,"#ultraspiritual,#jpsears,#UltraSpiritual,#Narcissist",4,"@kellsbrown_,@mrtnplass,@timothyeisenman,@frankjayporcaro,@danieleisenman,@demkefarm,@yoga.karenwiggins,@xchrisgrossox,@xchrisgrossox,@repostapp,@awakenwithjp,@soundstrue,@glassoboe,@lyndagaia,@freedfilm,@freedfilm",16
2016-12-30 01:03:38,,,,,,,
2017-05-23 14:48:26,,,,,,,
2017-07-13 11:15:14,,,,,,,
2017-07-26 08:27:07,,,,,,,
2017-09-12 06:28:53,,,,,,,
2017-09-25 00:45:22,,,,,,,
2017-11-12 09:20:32,,,,,,,
2017-11-25 11:24:01,,,,,,,
2017-12-08 01:13:03,,,,,,,
2018-01-12 02:44:41,,,,,,,
2018-01-28 13:51:45,,,,,,,
2018-03-14 04:20:34,212257,764,48401,"#ScarfGameIsStrong,#OffendyAwards,#ImOffended,#HateSpeech,#SocialJusticeWarrior,#SensitiveAF,#InclusiveOrDie,#SocialJusticeWarrior,#OffendyAwards,#ImOffended,#OffendyAwards,#ImOffended,#AwakenedWednesday,#PodcastAF,#ImOffended,#OffendyAwards,#ImOffended,#OffendyAwards,#ConsciousComedy,#Comedy",20,"@gobundance,@3footgiant,@dalailama,@awakenwithjp,@awakenwithjp,@neildegrassetyson,@awakenwithjp,@epicself,@missdabbledabble,@awakenwithjp,@comedyworksdenver,@michelleobama,@awakenwithjp,@suzybatiz,@tombrady,@awakenwithjp,@therock,@therock.,@awakenwithjp",19
2018-03-30 21:42:10,212257,764,48401,"#ScarfGameIsStrong,#OffendyAwards,#ImOffended,#HateSpeech,#SocialJusticeWarrior,#SensitiveAF,#InclusiveOrDie,#SocialJusticeWarrior,#OffendyAwards,#ImOffended,#OffendyAwards,#ImOffended,#AwakenedWednesday,#PodcastAF,#ImOffended,#OffendyAwards,#ImOffended,#OffendyAwards,#ConsciousComedy,#Comedy",20,"@gobundance,@3footgiant,@dalailama,@awakenwithjp,@awakenwithjp,@neildegrassetyson,@awakenwithjp,@epicself,@missdabbledabble,@awakenwithjp,@comedyworksdenver,@michelleobama,@awakenwithjp,@suzybatiz,@tombrady,@awakenwithjp,@therock,@therock.,@awakenwithjp",19
