Date,Follower_count,Comment_count,Like_count,Hashtags,Hashtag_count,Mentions,Mention_count
2015-01-04 22:09:07,2819,37,1239,"#Daystar,#DaystarTV,#FredPrice,#WinterRamp,#PerryStone,#Israel,#BethMoore,#ColourConference,#DaystarTV,#JimBakker,#WinterRamp,#NewYear,#2015,#BethMoore,#ColourConf,#PrestonwoodChristmas,#DaystarChristmas,#ColourConf,#Hillsong,#Daystar,#DaystarTV,#Truth,#Reminder,#GodIsGood,#GodSays,#AirAsia,#Flight8501,#MissingPlane,#Pray,#PrayForQZ8501,#ColourConf,#Hillsong,#Daystar,#DaystarTV,#Daystar,#Testimony,#DaystarChristmas,#MerryChristmas,#Christmas",39,"@Daystar,@EIFMinistries,@TheRampMedia,@KarenAnnWheaton,@Daystar,@TheRampMedia,@Daystar,@BobbieHouston,@LisaBevere,@Daystar,@Daystar,@JimBakkerShow,@Daystar,@TheRampMedia,@Daystar,@KarenAnnWheaton,@Daystar,@Hillsong,@Daystar,@JackNGraham,@PrestonwoodBC,@Daystar,@LisaBevere,@Hillsong,@ColourSisterhood,@Daystar,@Daystar,@Hillsong,@ColourSisterhood,@BobbieHouston,@Daystar,@Daystar,@JoniLamb,@TheVocalMajority,@Daystar,@Daystar",36
2015-08-22 13:58:16,,,,,,,
2015-08-22 13:58:17,,,,,,,
2015-12-03 21:25:50,17965,175,6459,"#JoniLamb,#Daystar,#DaystarTV,#Vintage,#Hanukkah,#HappyHanukkah,#DaystarIsrael,#GardenTomb,#MarcusLamb,#ChristInChristmas,#DaystarChristmas,#Daystar,#DaystarTV,#DaystarChristmas,#Daystar,#DaystarTV,#ChristmasLights,#InstaDFW,#DFWPhotography,#ChristInChristmas,#Hanukkah,#HappyHanukkah,#Daystar,#DaystarTV,#DaystarSingers,#DaystarChristmas,#Daystar,#DaystarTV,#ChristInChristmas,#Prayer,#InstaPrayer,#Daystar,#DaystarTV,#Hanukkah,#HappyHanukkah,#MarcusAndJoni,#JonathanCahn,#Daystar,#DaystarTV,#ArielleIsabella,#DaystarChristmas,#Christmas,#ChristmasStory,#Daystar,#DaystarTV,#Hanukkah,#HappyHanukkah,#DaystarChristmas,#ChristInChristmas,#Daystar,#DaystarTV,#MarcusLamb,#ChristmasStory,#ReasonForTheSeason,#DaystarChristmas,#MerryChristmas,#ChristInChristmas,#Christmas,#Nativity,#Daystar,#DaystarTV,#Hanukkah,#HappyHanukkah,#MarcusAndJoni,#CBN,#700Club,#GordonRobertson,#Daystar,#DaystarTV,#Daystar,#DaystarTV,#DaystarChristmas,#Hanukkah,#HappyHanukkah,#HanukkahPrayer,#DaystarChristmas,#Daystar,#DaystarTV,#NoniJoni,#Christmas,#IsraelElisha,#ArielleIsabella,#Congo,#DaystarGiveaway,#FallingWhistles,#Giveaway,#PeaceInCongo,#Daystar,#KennethCopeland,#DaystarTV,#VerseOfTheDay,#DaystarDevo,#Devotional,#MeaningOfChristmas,#Daystar,#DaystarTV,#DaystarIsrael,#Israel,#GardenTomb,#HeIsRisen,#BennyHinn,#BennyHinnMinistry,#Daystar,#DaystarTV",104,"@Daystar,@JoniLamb,@MarcusLamb,@Daystar,@CBNGordon,@Daystar,@VictoryChurchDFW,@Daystar,@Daystar,@mojenni,@FallingWhistles,@Daystar,@FallingWhistles,@Daystar,@CopelandNetwork,@sophiahsin,@RebeccaLambb,@Daystar,@Daystar",19
2015-12-12 10:43:05,,,,,,,
2016-02-01 20:43:53,,,,,,,
2016-03-11 00:53:34,21223,81,5809,"#HFTW2016,#StandWithIsrael,#HFTW2016,#DaystarIsrael,#YadVashem,#Jerusalem,#Israel,#VerseOfTheDay,#HFTW2016,#Periscope,#HFTW2016,#HFTW2016,#HFTW2016,#VerseOfTheDay,#DaystarIsrael,#HFTW2016,#JonathanCahn,#HFTW2016,#HFTW2016,#DaystarSingers,#Daystar,#DaystarTV,#Revival,#HFTW2016,#BrianCarn,#ProphetCarn,#ProphetBrianCarn,#Daystar,#DaystarTV,#HFTW2016,#DaystarSingers,#VerseOfTheDay,#DaystarIsrael,#Israel,#MountOfBeatitudes,#HFTW2016,#MarcusLamb,#Daystar,#DaystarTV,#FaithChurch,#DaystarSingers,#MarcusLamb,#JoniLamb,#FaithChurch,#DavidCrank,#NicoleCrank,#Daystar,#DaystarTV,#HFTW2016,#HFTW2016,#PerryStone,#VoiceOfEvangelism,#Israel,#StandWithIsrael,#Daystar,#DaystarTV,#AusDay,#AustraliaDay,#AustraliaDay2016,#Daystar,#DaystarTV,#MarcusAndJoni,#BethelMusic,#Bethel,#Daystar,#DaystarTV,#DaystarGiveaway,#TomLane,#GatewayChurch,#Giveaway,#DaystarBehindTheScenes,#Daystar,#DaystarTV,#DaystarNews,#TerriSavelleFoy,#Daystar,#DaystarTV",77,"@Daystar,@ProphetCarn,@Daystar,@Daystar,@ProphetCarn,@PastorJohnHagee,@ProphetCarn,@PsRobertMorris,@PastorSamuelRodriguez,@JoniLamb,@YourFaithChurch,@Daystar,@YourFaithChurch,@DavidCrank,@NicoleCrank,@MarcusLamb,@JoniLamb,@YourFaithChurch,@Daystar,@Foxtel,@BethelMusic,@GatewayPeople,@Daystar,@PsTomLane,@Daystar,@TerriSavelleFoy,@JoniLamb,@Daystar",28
2016-04-29 02:17:47,,,,,,,
2016-10-13 05:51:51,,,,,,,
2017-02-06 11:18:15,26139,29,2719,"#KingdomConnection,#CheriseFranklin,#JentezenFranklin,#Daystar,#DaystarTV,#MarcusAndJoni,#Daystar,#DaystarTV,#GodTV,#WendyAlec,#WMP2016,#PrayForAmerica,#InstaPrayer,#AnneGrahamLotz,#TheDanielPrayer,#MarcusAndJoni,#Daystar,#DaystarTV,#PsAwakening,#PsAwakening2016,#Planetshakers,#PlanetshakersLive,#DaystarOnDemand,#Daystar,#DaystarTV,#DaystarTestimony,#PraiseReport,#Prayer,#InstaPrayer,#MarcusAndJoni,#JoniTableTalk,#Daystar,#DaystarTV,#MarriageToday,#JimmyEvans,#KarenEvans,#DaystarBlog,#KennethCopeland,#Daystar,#DaystarTV,#MarcusAndJoni,#Daystar,#DaystarTV,#MensSummit16,#GatewayChurch,#GatewayMen,#RobertMorris,#Daystar,#DaystarTV,#WeAreRevival",50,"@CheriseFranklin,@Jentezen,@Daystar,@GodTV,@Daystar,@JimGarlow,@Daystar,@AnneGrahamLotz,@Daystar,@SaymEvans,@Planetshakers,@Daystar,@JKJenkins50,@FBCGlenarden,@Daystar,@MarriageToday,@PsJimmyEvans.,@Daystar,@CopelandNetwork,@GatewayPeople,@PsRobertMorris,@Daystar,@Daystar",23
