Date,Follower_count,Comment_count,Like_count,Hashtags,Hashtag_count,Mentions,Mention_count
2014-01-10 02:24:49,25839,365,4645,"#health,#juicefast,#detox,#fitlife,#showmeyourjuice,#juice,#life,#juicefast,#juicerecipe,#fitlife,#motivation,#fitlife,#showmeyourjuice,#fitlife,#witt,#health,#showmeyourjuice,#sunset,#motivation,#blessed,#showmeyourjuice,#health,#fitlife,#greendrink,#showmeyourjuice,#health,#juice,#fitlife,#ilovefitlifetv,#showmeyourjuice,#showmeyourjuice,#showmeyourjuice,#creative,#health,#juicing,#juicefasting,#art,#best,#love,#showmeyourjuice,#health,#fitgram,#fitness,#faith,#juicefasting,#juice,#juicing,#fitgram,#showmeyourjuice,#fitgram,#fitlife,#fitness,#greendrink,#plantlife,#plantstrong,#showmeyourjuice,#health,#fitness,#inspiration,#witt,#showmeyourjuice,#fullyraw,#greens,#plantlife,#liquidlife,#vegan,#drewcanole",67,"@soon,@mrs_oden521,@djamelb,@maedesmond,@specialtyproduce,@crystal_canez,@djamelb,@maedesmond,@yenthen,@vickymfk,@drewcanole,@audreyjennifer,@drewcanole,@omitapah,@greenkitchenhaiti,@jinkytenorio,@fullyrawkristina",17
2014-07-03 12:56:50,,,,,,,
2014-07-03 17:29:01,,,,,,,
2014-09-16 15:40:23,,,,,,,
2014-09-23 13:14:51,34484,539,7727,"#health,#fitness,#motivationalmonday,#juicing,#drewcanole,#drewcanole,#health,#fitness,#transformation,#drewcanole,#motivation,#superfood,#smoothie,#best,#drewcanole,#fitlife,#health,#motivationalmonday,#drewcanole,#drewcanole,#fitlife,#health,#workoutwednesday,#fitness,#health,#fitness,#drewcanole,#motivationalmonday,#fitlife,#fitness,#motivation,#cute,#best,#fitlife,#health,#motivation,#fitlife,#health,#drewcanole,#greensmoothie,#juicing,#fitlife,#drewcanole,#juicing,#health,#fitness,#motivation,#drewcanole,#juicing,#melonsfordays,#health,#drewcanole,#motivationalmonday,#mindset,#health,#instalove,#best,#juicing,#weightloss,#motivation,#fitlife,#fitness,#drewcanole,#instalove,#best,#nomnom,#absaremadeinthekitchen,#fitlife,#drewcanole,#realfood,#preworkout,#realfood,#fitlife,#drewcanole,#juicing,#health,#greens,#drewcanole,#health,#motivation,#fitlife,#drewcanole,#juicing",83,@_brittanysays_,1
2015-02-15 10:21:49,,,,,,,
2015-02-25 16:13:21,,,,,,,
2015-03-04 18:27:20,,,,,,,
2015-03-04 18:27:21,,,,,,,
2015-03-11 09:52:13,,,,,,,
2015-03-11 09:52:13,,,,,,,
2015-03-15 03:41:20,,,,,,,
2015-03-15 17:38:04,,,,,,,
2015-03-17 10:43:21,,,,,,,
2015-03-17 10:43:25,,,,,,,
2015-03-18 04:02:19,,,,,,,
2015-03-18 04:02:21,,,,,,,
2015-03-23 11:03:18,,,,,,,
2015-03-24 12:52:56,,,,,,,
2015-03-24 12:52:57,,,,,,,
2015-03-31 14:57:56,,,,,,,
2015-03-31 14:57:57,,,,,,,
2015-04-14 14:48:10,,,,,,,
2015-04-14 14:48:12,,,,,,,
2015-04-21 22:56:16,,,,,,,
2015-04-21 22:56:18,,,,,,,
2015-06-16 21:59:23,,,,,,,
2015-08-25 03:09:10,89817,770,54077,"#norbertthedog,#chestday,#killingit,#fitlife,#drewcanole,#eggsmell,#fartsmeller,#skin,#fitlife,#dontcare,#norbertthedog,#witt,#fitlife,#lovelife,#motivation,#fitness,#transformationeveryday,#motivation,#fitness,#fitlife,#organifi,#fitlife,#liveyourpassion,#lovemylife,#pinchmeimdreaming,#horsesareawesome,#lovemylife,#best,#fitlife,#fitlifecoach,#friend,#fitlifer,#fitlife,#costarica,#transformationtuesday,#fitfriday,#fitlifecoach,#fitlife,#fitlifer,#fitlife,#fitlifecoach,#witt,#motivation",43,"@norbertthedog,@norbertthedog,@authorjulie,@organifi,@pachamama_love",5
2015-08-25 03:09:12,89817,770,54077,"#norbertthedog,#chestday,#killingit,#fitlife,#drewcanole,#eggsmell,#fartsmeller,#skin,#fitlife,#dontcare,#norbertthedog,#witt,#fitlife,#lovelife,#motivation,#fitness,#transformationeveryday,#motivation,#fitness,#fitlife,#organifi,#fitlife,#liveyourpassion,#lovemylife,#pinchmeimdreaming,#horsesareawesome,#lovemylife,#best,#fitlife,#fitlifecoach,#friend,#fitlifer,#fitlife,#costarica,#transformationtuesday,#fitfriday,#fitlifecoach,#fitlife,#fitlifer,#fitlife,#fitlifecoach,#witt,#motivation",43,"@norbertthedog,@norbertthedog,@authorjulie,@organifi,@pachamama_love",5
2015-10-24 18:07:21,89817,770,54077,"#norbertthedog,#chestday,#killingit,#fitlife,#drewcanole,#eggsmell,#fartsmeller,#skin,#fitlife,#dontcare,#norbertthedog,#witt,#fitlife,#lovelife,#motivation,#fitness,#transformationeveryday,#motivation,#fitness,#fitlife,#organifi,#fitlife,#liveyourpassion,#lovemylife,#pinchmeimdreaming,#horsesareawesome,#lovemylife,#best,#fitlife,#fitlifecoach,#friend,#fitlifer,#fitlife,#costarica,#transformationtuesday,#fitfriday,#fitlifecoach,#fitlife,#fitlifer,#fitlife,#fitlifecoach,#witt,#motivation",43,"@norbertthedog,@norbertthedog,@authorjulie,@organifi,@pachamama_love",5
2016-01-02 05:12:46,94508,591,52262,"#BetweenUs,#WelcomeToTheFuture,#Repost,#fitlifetv,#health,#fitness,#fit,#motivation,#supersexyraw,#farmersmarket,#fitnessaddict,#fitspo,#workout,#vegansofig,#outdoors,#train,#training,#supersexyraw,#health,#healthy,#specialtyproduce,#healthychoices,#active,#strong,#motivation,#instagood,#sandiego,#lifestyle,#getfit,#cleaneating,#eatclean,#exercise,#Repost,#LunchForChampions,#FellOffMyDirtBike,#WITT30,#LetGo,#WITT30,#Repost,#Choice,#witt30,#WITT30",42,"@angelahappydot,@supersexyraw,@drewcanole,@retail_sp,@Supersexyraw,@thinkgrowprosper,@Organifi,@organifi,@dom_labrecque,@thinkgrowprosper",10
2016-01-31 16:29:02,94508,591,52262,"#BetweenUs,#WelcomeToTheFuture,#Repost,#fitlifetv,#health,#fitness,#fit,#motivation,#supersexyraw,#farmersmarket,#fitnessaddict,#fitspo,#workout,#vegansofig,#outdoors,#train,#training,#supersexyraw,#health,#healthy,#specialtyproduce,#healthychoices,#active,#strong,#motivation,#instagood,#sandiego,#lifestyle,#getfit,#cleaneating,#eatclean,#exercise,#Repost,#LunchForChampions,#FellOffMyDirtBike,#WITT30,#LetGo,#WITT30,#Repost,#Choice,#witt30,#WITT30",42,"@angelahappydot,@supersexyraw,@drewcanole,@retail_sp,@Supersexyraw,@thinkgrowprosper,@Organifi,@organifi,@dom_labrecque,@thinkgrowprosper",10
2016-02-01 07:18:50,94508,591,52262,"#BetweenUs,#WelcomeToTheFuture,#Repost,#fitlifetv,#health,#fitness,#fit,#motivation,#supersexyraw,#farmersmarket,#fitnessaddict,#fitspo,#workout,#vegansofig,#outdoors,#train,#training,#supersexyraw,#health,#healthy,#specialtyproduce,#healthychoices,#active,#strong,#motivation,#instagood,#sandiego,#lifestyle,#getfit,#cleaneating,#eatclean,#exercise,#Repost,#LunchForChampions,#FellOffMyDirtBike,#WITT30,#LetGo,#WITT30,#Repost,#Choice,#witt30,#WITT30",42,"@angelahappydot,@supersexyraw,@drewcanole,@retail_sp,@Supersexyraw,@thinkgrowprosper,@Organifi,@organifi,@dom_labrecque,@thinkgrowprosper",10
2016-02-02 18:09:52,94508,591,52262,"#BetweenUs,#WelcomeToTheFuture,#Repost,#fitlifetv,#health,#fitness,#fit,#motivation,#supersexyraw,#farmersmarket,#fitnessaddict,#fitspo,#workout,#vegansofig,#outdoors,#train,#training,#supersexyraw,#health,#healthy,#specialtyproduce,#healthychoices,#active,#strong,#motivation,#instagood,#sandiego,#lifestyle,#getfit,#cleaneating,#eatclean,#exercise,#Repost,#LunchForChampions,#FellOffMyDirtBike,#WITT30,#LetGo,#WITT30,#Repost,#Choice,#witt30,#WITT30",42,"@angelahappydot,@supersexyraw,@drewcanole,@retail_sp,@Supersexyraw,@thinkgrowprosper,@Organifi,@organifi,@dom_labrecque,@thinkgrowprosper",10
2016-04-13 07:07:46,101996,285,32225,"#motivation,#faith,#integrity,#mindsetmonday,#drewcanole,#truth,#motivation,#drewcanole,#motivation,#roundhousekick,#risegear,#Organifi,#FitlifeMovement,#today,#game,#not,#move,#now,#done,#Success,#Mindset,#MakeTheNextMove,#FitlifeMovement,#Organifi,#token,#PowerOfNow,#Thoughts,#Manifest,#Doors,#FitlifeMovement,#Health,#Lifestyle",32,"@organifi,@Organifi,@katcarney,@lewishowes",4
2016-05-09 09:47:00,101996,285,32225,"#motivation,#faith,#integrity,#mindsetmonday,#drewcanole,#truth,#motivation,#drewcanole,#motivation,#roundhousekick,#risegear,#Organifi,#FitlifeMovement,#today,#game,#not,#move,#now,#done,#Success,#Mindset,#MakeTheNextMove,#FitlifeMovement,#Organifi,#token,#PowerOfNow,#Thoughts,#Manifest,#Doors,#FitlifeMovement,#Health,#Lifestyle",32,"@organifi,@Organifi,@katcarney,@lewishowes",4
2016-05-09 12:53:40,101996,285,32225,"#motivation,#faith,#integrity,#mindsetmonday,#drewcanole,#truth,#motivation,#drewcanole,#motivation,#roundhousekick,#risegear,#Organifi,#FitlifeMovement,#today,#game,#not,#move,#now,#done,#Success,#Mindset,#MakeTheNextMove,#FitlifeMovement,#Organifi,#token,#PowerOfNow,#Thoughts,#Manifest,#Doors,#FitlifeMovement,#Health,#Lifestyle",32,"@organifi,@Organifi,@katcarney,@lewishowes",4
2016-05-19 23:56:15,102956,203,27906,#HIITMAX,1,"@Drew,@drewcanole,@drewcanole,@morellisworld,@morellisworld.",5
2016-05-19 23:56:15,102956,203,27906,#HIITMAX,1,"@Drew,@drewcanole,@drewcanole,@morellisworld,@morellisworld.",5
2016-05-19 23:56:16,102956,203,27906,#HIITMAX,1,"@Drew,@drewcanole,@drewcanole,@morellisworld,@morellisworld.",5
2016-05-29 03:47:26,102956,203,27906,#HIITMAX,1,"@Drew,@drewcanole,@drewcanole,@morellisworld,@morellisworld.",5
2016-05-29 10:00:13,102956,203,27906,#HIITMAX,1,"@Drew,@drewcanole,@drewcanole,@morellisworld,@morellisworld.",5
2016-06-30 04:00:25,102956,203,27906,#HIITMAX,1,"@Drew,@drewcanole,@drewcanole,@morellisworld,@morellisworld.",5
2016-07-29 08:33:48,102956,203,27906,#HIITMAX,1,"@Drew,@drewcanole,@drewcanole,@morellisworld,@morellisworld.",5
2016-09-28 17:49:33,102956,203,27906,#HIITMAX,1,"@Drew,@drewcanole,@drewcanole,@morellisworld,@morellisworld.",5
2016-10-29 23:44:56,102956,203,27906,#HIITMAX,1,"@Drew,@drewcanole,@drewcanole,@morellisworld,@morellisworld.",5
2016-11-21 20:53:47,102956,203,27906,#HIITMAX,1,"@Drew,@drewcanole,@drewcanole,@morellisworld,@morellisworld.",5
2017-01-21 08:40:47,102956,203,27906,#HIITMAX,1,"@Drew,@drewcanole,@drewcanole,@morellisworld,@morellisworld.",5
2017-03-15 11:43:41,,,,,,,
2017-03-22 17:49:28,,,,,,,
2017-05-26 01:40:07,,,,,,,
2017-07-27 12:27:27,,,,,,,
2017-09-26 17:39:22,,,,,,,
2017-10-16 09:40:24,,,,,,,
2017-11-26 16:52:05,,,,,,,
2018-01-28 14:14:30,,,,,,,
2018-03-30 12:13:32,120454,568,9581,"#give,#love,#organifi,#santa,#rudolph,#letsgo,#thankyougod,#thankyougod,#blessed,#recklesslove,#bestcultureever,#gameoflife,#whatif,#newvision,#organifi,#mindset,#sage,#goldendoodle,#greenjuice,#organifi,#micronutrients,#allday,#savinglives,#thanksmom,#haveaheart,#givingisliving,#cookiemonster,#santaswonderland,#drewclause,#merrychristmas,#nosaracostarica,#lifeisgood,#whatsyourwhy,#frequency,#love,#raisingconciousness,#5dimension",37,"@rebeccaboatman,@organifi,@vitaminangels,@nolan.tatro,@organifi.",5
