Date,Follower_count,Comment_count,Like_count,Hashtags,Hashtag_count,Mentions,Mention_count
2014-01-25 06:30:57,1362,0,0,#10,1,,0
2014-10-06 04:17:51,9659,452,8046,"#countryproblems,#10",2,"@Stenhousejr,@Stenhousejr,@stenhousejr,@dallasstenhouse,@godaddy,@reppaulryan",6
2014-12-23 05:08:27,,,,,,,
2014-12-23 05:08:31,21412,663,22876,#10,1,"@godaddy,@mamahull.,@mamahull,@jenmeyerjewelry,@stenhousejr,@lilyniels",6
2015-02-03 21:39:55,26899,0,0,#10,1,,0
2015-02-03 21:39:58,26899,0,0,#10,1,,0
2015-02-15 08:12:58,29791,0,0,#10,1,,0
2015-03-15 00:44:29,39825,0,0,#10,1,,0
2015-03-15 08:28:08,39825,0,0,#10,1,,0
2015-03-16 06:54:14,39825,0,0,#10,1,,0
2015-03-21 16:21:47,41401,0,0,#10,1,,0
2015-03-22 06:59:15,41401,0,0,#10,1,,0
2015-05-09 19:58:30,41401,0,0,#10,1,,0
2015-08-14 00:22:32,127150,1999,88170,"#Repost,#spatdown,#WSNoKidHungry,#Repost,#10",5,"@williamssonoma,@repostapp.,@nokidhungry,@williamssonoma,@uggaustralia,@naturesbakery,@dallasstenhouse,@dallasstenhouse,@amandamertz,@xojordanfish,@repostapp.,@danicapatrick,@mamahull,@amandamertz,@xojordanfish.,@xojordanfish,@gfornelli",17
2015-08-21 16:43:20,127150,1999,88170,"#Repost,#spatdown,#WSNoKidHungry,#Repost,#10",5,"@williamssonoma,@repostapp.,@nokidhungry,@williamssonoma,@uggaustralia,@naturesbakery,@dallasstenhouse,@dallasstenhouse,@amandamertz,@xojordanfish,@repostapp.,@danicapatrick,@mamahull,@amandamertz,@xojordanfish.,@xojordanfish,@gfornelli",17
2015-09-01 03:05:50,134610,2909,124517,"#vmas,#nationaldogday,#nationaldogday,#Repost,#RHOC,#NASCAR,#WAFFLEBELLY,#questforthepress,#10",9,"@heatherdubrow,@repostapp.,@nascar,@bravotv,@danicapatrick,@drdubrow,@jpe1515,@meghankedmonds",8
2015-09-05 07:59:58,141768,2765,114691,"#sisters,#Repost,#puppyparty,#vmas,#nationaldogday,#nationaldogday,#10",7,"@stenhousejr,@stenhousejr,@repostapp.,@danicapatrick,@roushperformance,@chevrolet,@naturesbakery,@purleyinspirednutrition",8
2015-09-06 19:17:29,141768,2765,114691,"#sisters,#Repost,#puppyparty,#vmas,#nationaldogday,#nationaldogday,#10",7,"@stenhousejr,@stenhousejr,@repostapp.,@danicapatrick,@roushperformance,@chevrolet,@naturesbakery,@purleyinspirednutrition",8
2015-09-07 00:05:37,141768,2765,114691,"#sisters,#Repost,#puppyparty,#vmas,#nationaldogday,#nationaldogday,#10",7,"@stenhousejr,@stenhousejr,@repostapp.,@danicapatrick,@roushperformance,@chevrolet,@naturesbakery,@purleyinspirednutrition",8
2015-09-24 13:38:33,150186,2777,97388,"#beardownchicagobears,#Repost,#tequila,#spiritualgangster,#sisters,#10",6,"@cyogalab,@spiritualgangster,@aspendental,@naturesbakery,@amy_reimann,@repostapp.,@williamssonoma,@nascar,@godaddy,@foxcroftschool,@godaddy,@stenhousejr",12
2015-10-06 03:18:57,156158,1848,82831,"#FroningFilm,#fall,#happynationalcoffeeday,#Repost,#hashtag,#10",6,"@cyogalab,@stenhousejr,@richfroning,@StenhouseJr,@stenhousejr,@katieleekitchen,@stenhousejr,@rachelrupert,@michael.kalish,@michael.kalish,@stenhousejr,@repostapp.,@danicapatrick,@officialolemissfootball,@williamssonoma",15
2015-10-17 01:08:11,162550,1680,81023,"#tbt,#fallflavors,#puppyyoga,#betterhalfdash,#Repost,#reminder,#everything,#energy,#dailyenergy,#florida,#nofilter,#FroningFilm,#10",13,"@mamahull,@mallorie_k,@crossfitcornelius.,@this_is_the_voice,@michael.kalish,@kalishandsons,@daily_energy,@repostapp.,@hermiesadler.,@cyogalab,@stenhousejr,@richfroning,@StenhouseJr",13
2015-11-05 13:28:07,170656,2059,87185,"#nationaloatmealday,#Repost,#chicken,#waffle,#thisisfall,#Repost,#Repost,#reminder,#dailyenergy,#Repost,#10",11,"@tissot_official,@andydogs,@upsidedownmama,@cyogalab,@foodandwine,@repostapp.,@poppyandrosela.,@hangrydiary.,@stenhousejr,@thesecret365,@repostapp.,@TalladegaSuperS,@teamchevy,@thesouptv,@daily_energy,@repostapp.,@stenhousejr,@repostapp.,@polendesigns,@officialolemissfootball,@talladegasupers,@newbalance,@jeffmauro,@todayshow",24
2015-11-05 13:28:11,170656,2059,87185,"#nationaloatmealday,#Repost,#chicken,#waffle,#thisisfall,#Repost,#Repost,#reminder,#dailyenergy,#Repost,#10",11,"@tissot_official,@andydogs,@upsidedownmama,@cyogalab,@foodandwine,@repostapp.,@poppyandrosela.,@hangrydiary.,@stenhousejr,@thesecret365,@repostapp.,@TalladegaSuperS,@teamchevy,@thesouptv,@daily_energy,@repostapp.,@stenhousejr,@repostapp.,@polendesigns,@officialolemissfootball,@talladegasupers,@newbalance,@jeffmauro,@todayshow",24
2015-11-05 13:28:14,170656,2059,87185,"#nationaloatmealday,#Repost,#chicken,#waffle,#thisisfall,#Repost,#Repost,#reminder,#dailyenergy,#Repost,#10",11,"@tissot_official,@andydogs,@upsidedownmama,@cyogalab,@foodandwine,@repostapp.,@poppyandrosela.,@hangrydiary.,@stenhousejr,@thesecret365,@repostapp.,@TalladegaSuperS,@teamchevy,@thesouptv,@daily_energy,@repostapp.,@stenhousejr,@repostapp.,@polendesigns,@officialolemissfootball,@talladegasupers,@newbalance,@jeffmauro,@todayshow",24
2015-11-10 22:08:25,170656,2059,87185,"#nationaloatmealday,#Repost,#chicken,#waffle,#thisisfall,#Repost,#Repost,#reminder,#dailyenergy,#Repost,#10",11,"@tissot_official,@andydogs,@upsidedownmama,@cyogalab,@foodandwine,@repostapp.,@poppyandrosela.,@hangrydiary.,@stenhousejr,@thesecret365,@repostapp.,@TalladegaSuperS,@teamchevy,@thesouptv,@daily_energy,@repostapp.,@stenhousejr,@repostapp.,@polendesigns,@officialolemissfootball,@talladegasupers,@newbalance,@jeffmauro,@todayshow",24
