Date,Follower_count,Comment_count,Like_count,Hashtags,Hashtag_count,Mentions,Mention_count
2014-01-16 02:22:03,5,0,0,,0,,0
2014-06-06 02:57:49,908,48,813,"#tbt,#throwbackthursday,#health,#food,#fitness,#mercolapeakfitness,#exercise,#tbt,#throwbackthursday,#food,#health,#nutrition,#healthy,#health,#vaccine,#health,#health,#healthy,#organic,#gardening,#tbt,#throwbackthursday,#quote,#quotes,#free,#sale,#health,#healing,#naturalhealing,#naturalhealth,#thankyou,#grateful,#quote,#health,#health,#trivia",36,,0
2014-08-01 10:22:27,1511,55,1287,"#exercise,#health,#infographic,#tbt,#throwbackthursday,#gmo,#health,#tbt,#throwbackthursday,#health,#health,#naturalhealth,#Stress,#health,#food,#cancer,#health",17,,0
2014-09-04 21:37:29,2100,70,1579,"#brainhealth,#naturalhealth,#mercolatip,#mercolafoodfact,#food,#infographic,#mercolatip,#LaborDay,#quote,#quoteoftheday,#mercolatip,#mercolatip,#father,#tbt,#throwbackthursday,#family,#health,#naturalhealth,#mercolatip,#mercolasays,#mercolafoodfact,#food,#infographic,#quote,#quoteoftheday,#tbt,#throwbackthursday,#mercolafoodfact,#food,#quote,#quotes,#tbt,#throwbackthursday",33,,0
2014-09-22 00:10:16,2315,99,1816,"#flashbackfriday,#mercolafoodfact,#naturalhealth,#mercolatip,#mercolasays,#parenting,#GMOs,#quote,#quoteoftheday,#naturalhealth,#mercolatip,#quote,#qotd,#diabetes,#naturalhealth,#mercolatip,#tbt,#throwbackthursday,#family,#brainhealth,#naturalhealth,#mercolatip,#mercolafoodfact,#food,#infographic,#mercolatip,#LaborDay,#quote,#quoteoftheday,#mercolatip,#mercolatip",31,,0
2014-10-18 18:00:55,2780,154,2216,"#tbt,#throwbackthursday,#Food,#Avocado,#mercolafoodfact,#gut,#organic,#marriage,#quote,#quoteoftheday,#recipe,#healthyrecipe,#naturalhealth,#mercolatip,#tbt,#throwbackthursday,#stevia,#naturalhealth,#mercolatip,#Food,#mercolafoodfact,#infographic,#quote,#quoteoftheday,#mercolatip,#naturalhealth,#mercolatip",27,,0
2014-11-12 06:57:10,3076,151,2375,"#mercolafoodfact,#food,#love,#quote,#quoteoftheday,#pain,#naturalhealth,#mercolatip,#naturalhealth,#naturalhealth,#mercolatip,#tbt,#throwbackthursday,#reducereuserecycle,#naturalhealth,#mercolatip,#Food,#kale,#mercolafoodfact,#organic,#infographic,#quote,#quoteoftheday,#mercolatip,#naturalhealth,#mercolatip,#flu,#food,#soup,#naturalhealth,#mercolatip,#tbt,#throwbackthursday,#Food,#Avocado,#mercolafoodfact,#gut,#organic",38,,0
2014-11-12 06:57:49,3076,151,2375,"#mercolafoodfact,#food,#love,#quote,#quoteoftheday,#pain,#naturalhealth,#mercolatip,#naturalhealth,#naturalhealth,#mercolatip,#tbt,#throwbackthursday,#reducereuserecycle,#naturalhealth,#mercolatip,#Food,#kale,#mercolafoodfact,#organic,#infographic,#quote,#quoteoftheday,#mercolatip,#naturalhealth,#mercolatip,#flu,#food,#soup,#naturalhealth,#mercolatip,#tbt,#throwbackthursday,#Food,#Avocado,#mercolafoodfact,#gut,#organic",38,,0
2015-03-09 15:36:53,,,,,,,
2015-05-09 04:46:05,,,,,,,
