Date,Follower_count,Comment_count,Like_count,Hashtags,Hashtag_count,Mentions,Mention_count
2014-04-10 07:11:46,550,13,97,"#Kitty,#Kat,#rescue,#siamese,#Old,#cat,#Grounding,#gluten,#Healthy,#Grains,#Radiation,#Flying,#Commercial,#Health,#sunset,#florida,#elderly,#kitty,#love,#health,#detox,#legs,#smoothie,#blueberries,#bananas,#raw,#vegan,#retro,#kitchen,#red,#foodie",31,,0
2014-07-22 01:43:43,,,,,,,
2014-09-22 21:33:29,,,,,,,
2014-10-28 13:25:44,3265,19,181,"#bikini,#sharkini,#bathing,#suit,#Halloween,#costume,#space,#Halloween,#dress,#silly,#pose,#me,#peace,#fat,#face,#organic,#ginger,#food,#porn,#vegan,#raw,#organic,#food,#porn,#pie,#vegan,#raw,#food,#porn,#organic,#neighbors,#house,#hookah,#burnt,#pot,#hard,#punk,#buzzard,#possum,#curse,#word,#organic,#wine,#sunset,#Florida,#pool,#Intercoastal,#beach,#Columbus,#overrated,#lizard,#reptile,#art,#mask,#outdoors",55,,0
2015-03-12 04:43:10,,,,,,,
2015-05-12 09:05:22,,,,,,,
2015-07-11 22:17:32,4144,71,908,"#organic,#local,#rawvegan,#raw,#chocolate,#amazing,#holistic,#healthy,#desert,#restaurant,#strawberries,#blueberries,#whipped,#the,#divine,#spaceship,#aliens,#nails,#mani,#pedi,#surreal,#music,#chic,#takeoff,#brand,#new,#clean,#nice,#same,#price,#scifi,#2001,#bowie,#robot,#tech,#ethereal,#white,#light,#divine,#grace,#luckyshot,#goldilocks,#organic,#local,#hair,#lotion,#oil,#magical,#solution,#natural,#blonde,#locks,#cslewis,#quotes,#words,#wordsmith,#lionwitchwardrobe,#wisdom,#fairytales,#truth,#books,#destiny,#survival,#double,#delicious,#raw,#organic,#green,#juice,#sweetpotato,#juice,#detox,#concoction,#glass,#belljar,#noplastic,#organic,#del,#raw,#elixir,#turmeric,#curcumin,#foodporn,#holistic,#concoction,#bedtime,#heathy,#detox,#goldenmilk,#organic,#vegan,#local,#Beach,#restaurant,#del,#family,#owned,#gourmet,#Be,#back,#soon,#good,#foodporn,#kitty,#cat,#camouflage,#autumn,#fall,#leaves,#outdoor,#eleven,#feline,#grounding,#green,#eyes,#meow,#Suzanne,#somers,#Dr,#mercola,#health,#alternative,#bio,#hormones,#GMO,#mass,#shootings,#celebrity,#questions,#organic,#society,#relaxing,#Massage,#bodywork,#holistic,#treatmentbut,#cat,#Massage,#table,#retro,#50s,#fifties,#lol,#meme,#vintage,#heath,#healthnut,#silly,#joke,#organic,#raw,#vegan,#local,#healthyfood,#pudding,#for,#lunch,#vegetarian,#recipe,#florida,#yum,#squirrel,#walk,#labyrinth,#path,#my,#legs,#shadow,#nature,#smart,#rodent,#love,#meditation,#creature,#feature,#parks,#florida,#sunset,#labyrinth,#nature,#Florida,#river,#ocean,#lake,#stream,#trees,#meditation,#holistic,#relaxation,#organic,#pomegranate,#raw,#juice,#florida,#fresh,#juicer,#red,#rainbow,#foodporn,#fruit,#season,#backwoods,#redneck,#whitetrash,#lawnmower,#hicks,#sticks,#Florida,#organic,#decaf,#relaxing,#gojiberries,#coffee,#davidwolfe,#mug,#del,#late,#night,#healthy,#special,#treat,#native,#American,#indigenous,#quote,#spiritual,#politics,#tyranny,#government,#justice,#Freedom,#wisdom,#meme,#davidwolfe,#longevityconference,#California,#thousands,#healthnuts,#birthday,#Facebook,#honored,#coast,#organic,#chocolate,#bestdayever,#revolution,#erinelizabeth,#healthnutnews,#Local,#organic,#bananas,#banana,#tree,#32,#fruit,#Florida,#coast,#ring,#birthday,#moon,#full,#moon,#healthnut,#emf,#wireless,#radiation,#pong,#iphone,#protection,#crazy,#stuff,#organic,#Strawberry,#coconut,#mint,#smoothie,#organic,#raw,#local,#healthy,#beach,#side,#Florida,#garden,#grown,#vegan,#raw,#fruit",288,,0
2015-09-10 17:26:41,,,,,,,
2015-11-10 12:34:42,,,,,,,
2015-11-16 04:22:36,4144,71,908,"#organic,#local,#rawvegan,#raw,#chocolate,#amazing,#holistic,#healthy,#desert,#restaurant,#strawberries,#blueberries,#whipped,#the,#divine,#spaceship,#aliens,#nails,#mani,#pedi,#surreal,#music,#chic,#takeoff,#brand,#new,#clean,#nice,#same,#price,#scifi,#2001,#bowie,#robot,#tech,#ethereal,#white,#light,#divine,#grace,#luckyshot,#goldilocks,#organic,#local,#hair,#lotion,#oil,#magical,#solution,#natural,#blonde,#locks,#cslewis,#quotes,#words,#wordsmith,#lionwitchwardrobe,#wisdom,#fairytales,#truth,#books,#destiny,#survival,#double,#delicious,#raw,#organic,#green,#juice,#sweetpotato,#juice,#detox,#concoction,#glass,#belljar,#noplastic,#organic,#del,#raw,#elixir,#turmeric,#curcumin,#foodporn,#holistic,#concoction,#bedtime,#heathy,#detox,#goldenmilk,#organic,#vegan,#local,#Beach,#restaurant,#del,#family,#owned,#gourmet,#Be,#back,#soon,#good,#foodporn,#kitty,#cat,#camouflage,#autumn,#fall,#leaves,#outdoor,#eleven,#feline,#grounding,#green,#eyes,#meow,#Suzanne,#somers,#Dr,#mercola,#health,#alternative,#bio,#hormones,#GMO,#mass,#shootings,#celebrity,#questions,#organic,#society,#relaxing,#Massage,#bodywork,#holistic,#treatmentbut,#cat,#Massage,#table,#retro,#50s,#fifties,#lol,#meme,#vintage,#heath,#healthnut,#silly,#joke,#organic,#raw,#vegan,#local,#healthyfood,#pudding,#for,#lunch,#vegetarian,#recipe,#florida,#yum,#squirrel,#walk,#labyrinth,#path,#my,#legs,#shadow,#nature,#smart,#rodent,#love,#meditation,#creature,#feature,#parks,#florida,#sunset,#labyrinth,#nature,#Florida,#river,#ocean,#lake,#stream,#trees,#meditation,#holistic,#relaxation,#organic,#pomegranate,#raw,#juice,#florida,#fresh,#juicer,#red,#rainbow,#foodporn,#fruit,#season,#backwoods,#redneck,#whitetrash,#lawnmower,#hicks,#sticks,#Florida,#organic,#decaf,#relaxing,#gojiberries,#coffee,#davidwolfe,#mug,#del,#late,#night,#healthy,#special,#treat,#native,#American,#indigenous,#quote,#spiritual,#politics,#tyranny,#government,#justice,#Freedom,#wisdom,#meme,#davidwolfe,#longevityconference,#California,#thousands,#healthnuts,#birthday,#Facebook,#honored,#coast,#organic,#chocolate,#bestdayever,#revolution,#erinelizabeth,#healthnutnews,#Local,#organic,#bananas,#banana,#tree,#32,#fruit,#Florida,#coast,#ring,#birthday,#moon,#full,#moon,#healthnut,#emf,#wireless,#radiation,#pong,#iphone,#protection,#crazy,#stuff,#organic,#Strawberry,#coconut,#mint,#smoothie,#organic,#raw,#local,#healthy,#beach,#side,#Florida,#garden,#grown,#vegan,#raw,#fruit",288,,0
