Date,Follower_count,Comment_count,Like_count,Hashtags,Hashtag_count,Mentions,Mention_count
2013-09-03 00:46:13,3319,22,763,"#RIPNelsonMandela,#Madiba,#RIPNelsonMandela,#Madiba,#Madiba,#Mandela,#UKstorm,#AutumnStatement,#scotstorm,#BBCtrending,#Ison",11,,0
2013-12-09 11:32:55,,,,,,,
2013-12-10 07:27:03,,,,,,,
2014-01-26 02:18:20,,,,,,,
2014-01-31 11:08:23,,,,,,,
2014-02-05 22:28:59,,,,,,,
2014-02-05 22:28:59,14981,313,3295,"#pain,#Twins,#Instafax,#Instafax,#China,#Instafax,#BirdFlu,#H10N8,#Korea,#Syrian,#Aleppo,#Olympics,#Sochi,#Instafax,#Bitcoin,#London,#BitTag,#Instafax,#Facebook,#Harvard,#wildfire,#future,#Instafax,#Instafax,#Instafax,#Instafax,#Instafax,#Instafax,#Instafax,#Instafax,#Instafax,#Instafax,#Instafax,#Instafax,#Instafax,#Instafax,#Instafax",37,,0
2014-02-05 22:29:02,,,,,,,
2014-02-05 22:29:02,,,,,,,
2014-02-09 18:46:34,,,,,,,
2014-02-10 12:45:00,,,,,,,
2014-02-10 12:46:08,,,,,,,
2014-02-23 07:35:22,18085,266,3576,"#Instafax,#Instafax,#Hollywood,#Movies,#Instafax,#Venezuela,#Caracas,#protest,#riot,#Instafax,#Ukraine,#Kiev,#Brazil,#USA,#Obama,#Tibet,#DaliaLama,#Instafax,#Instafax,#Instafax,#Sleep,#Sport,#Olympics,#Sochi,#Instafax,#Monkey,#Chicago,#Instafax,#GreatLakes,#USA,#Fish,#Carp,#Instafax,#Instafax,#robot,#Instafax,#Instafax,#Instafax,#Instafax,#Smoking,#cigarettes,#depression,#happy,#Instafax,#Instafax,#Fat,#Obese,#Overweight,#weightloss,#food,#diet,#exercise,#dieting,#Instafax,#Instafax,#Instafax",56,,0
2014-02-27 10:08:57,,,,,,,
2014-02-27 13:13:25,,,,,,,
2014-07-04 02:02:52,,,,,,,
2014-07-16 12:36:17,,,,,,,
2014-08-15 14:23:46,,,,,,,
2014-08-28 03:56:15,58339,556,9355,"#Afghanistan,#Abdullah,#Ghani,#BBCShorts,#Ebola,#BBCAfrica,#BBCShorts,#Gaza,#GazaCeasefire,#GazaTruce,#Israel,#BBCShorts,#smokejumpers,#fire,#forestfirefighter,#california,#drought,#BBCShorts,#Libya,#BBCShorts,#BBCAfrica,#Ukraine,#Russia,#poroshenko,#Putin,#Donetsk,#Luhansk,#BBCShorts,#music,#devart,#radio,#internetradio,#BBCShorts,#hacking,#InternetOfThings,#coding,#programming,#BBCShorts,#VirtualReality,#health,#stress,#videogames,#therapy,#ptsd,#BBCShorts,#Ukraine,#AidConvoy,#russia,#Donetsk,#BBCShorts,#IceBucketChallenge,#Obama,#IceBucketFail,#Icebucket,#BBCShorts,#Hagel,#Dempsey,#Syria,#Iraq,#BBCShorts,#Widodo,#Jokowi,#indonesiaelection2014,#Indonesia,#BBCShorts,#JamesFoley,#ISIS,#IS,#IslamicState,#Syria,#Iraq,#BBCShorts,#science,#humanisme,#neanderthal,#BBCShorts,#Pakistan,#Qadri,#KHAN,#TahirUlQadri,#ImranKhan,#NawazSharif,#nawaz,#BBCShorts,#JamesFoley,#JamesWrightFoley,#ISIS,#IS,#IslamicState,#BBCShorts,#Africa,#elephants,#BBCAfrica,#BBCShorts,#MichaelBrown,#Missouri,#Ferguson,#StLouis,#Riot,#Racial,#BBCShorts,#bigben,#Westminster,#London,#parliament,#BBCShorts",106,@LJRICH,1
2014-09-19 01:09:12,,,,,,,
2014-10-01 14:01:17,,,,,,,
2014-10-13 13:10:48,,,,,,,
2015-01-11 12:24:28,,,,,,,
2015-01-11 12:24:48,,,,,,,
2015-01-16 22:49:30,,,,,,,
2015-01-16 22:50:33,,,,,,,
2015-01-16 23:41:14,,,,,,,
2015-01-23 04:02:41,,,,,,,
2015-01-23 04:03:05,,,,,,,
2015-02-01 06:04:20,,,,,,,
2015-02-05 21:50:34,,,,,,,
2015-02-23 05:22:33,,,,,,,
2015-03-03 00:31:45,,,,,,,
2015-03-22 11:45:22,,,,,,,
2015-03-30 07:34:46,,,,,,,
2015-04-16 12:16:06,,,,,,,
2015-04-16 12:16:07,,,,,,,
