Date,Follower_count,Comment_count,Like_count,Hashtags,Hashtag_count,Mentions,Mention_count
2014-04-03 05:23:55,928,13,692,"#1in68,#WorldAutismAwarenessDay,#burningtruth,#cdcglobal,#globalhealth,#centralamerica,#infectiousdisease,#cdcglobal,#globalhealth,#centralamerica,#safeplace,#GetCoveredNow,#ASF14,#PHNerd,#NPHWchat,#NPHW,#ASF14,#ASF14,#ASF14,#ASF14,#ASF14,#1in68,#autism,#HAIs,#HAIs,#GetCovered,#burningtruth,#SpotCDC,#cdcglobal,#globalhealth,#TB,#childhoodTB",32,@AmericanPublicHealth,1
2014-04-26 16:01:18,,,,,,,
2014-05-01 00:39:31,,,,,,,
2014-07-11 11:01:51,,,,,,,
2014-10-03 20:39:33,,,,,,,
2014-10-19 05:44:58,,,,,,,
2015-03-09 11:00:25,,,,,,,
2015-04-03 04:41:32,,,,,,,
2015-05-06 10:43:06,,,,,,,
2015-06-04 10:52:11,,,,,,,
2015-06-04 20:30:43,,,,,,,
2015-06-20 20:52:26,5068,45,2407,"#CheckUpDay,#MensHealthWeek,#MensHealthWeek,#MensHealthWeek,#MensHealthWeek,#ShowUsYourBlue,#MentalHealth,#MensHealthWeek,#GetActive,#MensHealthWeek,#NMHW,#CDCTips,#menshealthweek,#MensHealthWeek,#TobaccoFree,#MensHealthWeek,#MensHealthWeek,#ShowUsYourBlue,#MensHealthWeek,#ShowUsYourBlue,#MensHealthWeek,#TBT,#socialshakeup15,#Ebola,#measles,#CDCGrandRounds,#DiseaseDetective,#DiseaseDetective,#Ebola,#Ebola,#VitalSigns,#Ebola,#DiseaseDetective,#Ebola,#DiseaseDetective,#DiseaseDetective,#Ebola",37,"@whitehouse,@CDCgov,@CDCGlobal,@WHO",4
2015-06-28 00:58:36,5240,38,2417,"#FathersDay,#MensHealthWeek,#CheckUpDay,#MensHealthWeek,#MensHealthWeek,#MensHealthWeek,#MensHealthWeek,#ShowUsYourBlue,#MentalHealth,#MensHealthWeek,#GetActive,#MensHealthWeek,#NMHW,#CDCTips,#menshealthweek,#MensHealthWeek,#TobaccoFree,#MensHealthWeek,#MensHealthWeek,#ShowUsYourBlue,#MensHealthWeek,#ShowUsYourBlue,#MensHealthWeek,#TBT,#socialshakeup15,#Ebola,#measles,#CDCGrandRounds,#DiseaseDetective,#DiseaseDetective,#Ebola,#Ebola,#VitalSigns,#Ebola,#DiseaseDetective,#Ebola,#DiseaseDetective",37,"@CDCgov,@whitehouse,@CDCgov,@CDCGlobal,@WHO",5
2015-06-29 01:16:30,5257,38,2421,"#FathersDay,#MensHealthWeek,#CheckUpDay,#MensHealthWeek,#MensHealthWeek,#MensHealthWeek,#MensHealthWeek,#ShowUsYourBlue,#MentalHealth,#MensHealthWeek,#GetActive,#MensHealthWeek,#NMHW,#CDCTips,#menshealthweek,#MensHealthWeek,#TobaccoFree,#MensHealthWeek,#MensHealthWeek,#ShowUsYourBlue,#MensHealthWeek,#ShowUsYourBlue,#MensHealthWeek,#TBT,#socialshakeup15,#Ebola,#measles,#CDCGrandRounds,#DiseaseDetective,#DiseaseDetective,#Ebola,#Ebola,#VitalSigns,#Ebola,#DiseaseDetective,#Ebola,#DiseaseDetective",37,"@CDCgov,@whitehouse,@CDCgov,@CDCGlobal,@WHO",5
2015-06-30 08:16:19,5277,38,2422,"#FathersDay,#MensHealthWeek,#CheckUpDay,#MensHealthWeek,#MensHealthWeek,#MensHealthWeek,#MensHealthWeek,#ShowUsYourBlue,#MentalHealth,#MensHealthWeek,#GetActive,#MensHealthWeek,#NMHW,#CDCTips,#menshealthweek,#MensHealthWeek,#TobaccoFree,#MensHealthWeek,#MensHealthWeek,#ShowUsYourBlue,#MensHealthWeek,#ShowUsYourBlue,#MensHealthWeek,#TBT,#socialshakeup15,#Ebola,#measles,#CDCGrandRounds,#DiseaseDetective,#DiseaseDetective,#Ebola,#Ebola,#VitalSigns,#Ebola,#DiseaseDetective,#Ebola,#DiseaseDetective",37,"@CDCgov,@whitehouse,@CDCgov,@CDCGlobal,@WHO",5
2015-07-05 07:29:52,5355,37,2449,"#YouCanQuit,#FathersDay,#MensHealthWeek,#CheckUpDay,#MensHealthWeek,#MensHealthWeek,#MensHealthWeek,#MensHealthWeek,#ShowUsYourBlue,#MentalHealth,#MensHealthWeek,#GetActive,#MensHealthWeek,#NMHW,#CDCTips,#menshealthweek,#MensHealthWeek,#TobaccoFree,#MensHealthWeek,#MensHealthWeek,#ShowUsYourBlue,#MensHealthWeek,#ShowUsYourBlue,#MensHealthWeek,#TBT,#socialshakeup15,#Ebola,#measles,#CDCGrandRounds,#DiseaseDetective,#DiseaseDetective,#Ebola,#Ebola,#VitalSigns,#Ebola,#DiseaseDetective",36,"@CDCgov,@whitehouse,@CDCgov,@CDCGlobal,@WHO",5
2015-07-20 20:24:57,5733,37,2467,"#CDCGrandRounds,#VitalSigns,#YouCanQuit,#FathersDay,#MensHealthWeek,#CheckUpDay,#MensHealthWeek,#MensHealthWeek,#MensHealthWeek,#MensHealthWeek,#ShowUsYourBlue,#MentalHealth,#MensHealthWeek,#GetActive,#MensHealthWeek,#NMHW,#CDCTips,#menshealthweek,#MensHealthWeek,#TobaccoFree,#MensHealthWeek,#MensHealthWeek,#ShowUsYourBlue,#MensHealthWeek,#ShowUsYourBlue,#MensHealthWeek",26,"@CDCgov,@whitehouse,@CDCgov",3
2015-08-20 20:48:13,6408,70,3041,"#IamCDC,#VetoViolence,#CDCGrandRounds,#VetoViolence,#VetoViolence,#MondayMotivation,#VetoViolence,#VetoViolence,#VetoViolence,#CDCGrandRounds,#VitalSigns,#YouCanQuit",12,@CDC_eHealth,1
2015-09-08 14:21:04,6792,80,3168,"#HeartAge,#VitalSigns,#VetoViolence,#VetoViolence,#IamCDC,#IamCDC,#VetoViolence,#CDCGrandRounds,#VetoViolence,#VetoViolence,#MondayMotivation,#VetoViolence,#VetoViolence,#VetoViolence,#CDCGrandRounds",15,@CDC_eHealth,1
2015-09-10 19:07:17,6860,81,3175,"#HeartAge,#VitalSigns,#VetoViolence,#VetoViolence,#IamCDC,#IamCDC,#VetoViolence,#CDCGrandRounds,#VetoViolence,#VetoViolence,#MondayMotivation,#VetoViolence,#VetoViolence,#VetoViolence,#CDCGrandRounds",15,@CDC_eHealth,1
2015-09-20 20:29:00,7247,83,3286,"#TBT,#influenza,#immunizations,#CDCGrandRounds,#HeartAge,#VitalSigns,#VetoViolence,#VetoViolence,#IamCDC,#IamCDC,#VetoViolence,#CDCGrandRounds,#VetoViolence,#VetoViolence,#MondayMotivation,#VetoViolence,#VetoViolence,#VetoViolence,#CDCGrandRounds",19,"@CDCInjury,@CDC_eHealth",2
2015-10-20 20:31:54,9181,57,3198,"#DomesticViolence,#VetoViolence,#NDVAM,#VitalSigns,#IamCDC,#IAmCDC,#SuicidePrevention,#VetoViolence,#Ebola,#GlobalHealthSecurity,#CDCGrandRounds,#FASD,#SuicidePrevention,#VetoViolence,#SuicidePrevention,#VetoViolence,#VetoViolence,#VetoViolence,#suicideprevention",19,@CDCGlobal,1
2015-11-04 23:14:07,10152,50,3140,"#VitalSigns,#DoubleTap,#VetoViolence,#BCAM,#BreastCancerAwareness,#IamCDC,#VetoViolence,#NDVAM,#DomesticViolence,#VetoViolence,#NDVAM,#VitalSigns,#IamCDC,#IAmCDC",14,,0
2015-11-04 23:14:10,10152,50,3140,"#VitalSigns,#DoubleTap,#VetoViolence,#BCAM,#BreastCancerAwareness,#IamCDC,#VetoViolence,#NDVAM,#DomesticViolence,#VetoViolence,#NDVAM,#VitalSigns,#IamCDC,#IAmCDC",14,,0
2015-11-20 20:23:50,11121,73,3245,"#Ebola,#CDCGrandRounds,#YoSoyCDC,#IamCDC,#IamCDC,#VitalSigns,#DoubleTap,#VetoViolence,#BCAM,#BreastCancerAwareness,#IamCDC,#VetoViolence,#NDVAM",13,@CDC_eHealth,1
2015-11-20 20:24:40,11121,73,3245,"#Ebola,#CDCGrandRounds,#YoSoyCDC,#IamCDC,#IamCDC,#VitalSigns,#DoubleTap,#VetoViolence,#BCAM,#BreastCancerAwareness,#IamCDC,#VetoViolence,#NDVAM",13,@CDC_eHealth,1
2015-12-20 20:22:27,13244,108,3922,"#UndertheLens,#biology,#science,#StarWars,#flu,#YearInSearch,#GetAFluVax,#PHNerd,#globalhealthsecurity,#CDCGrandRounds,#HealthyHolidays,#IamCDC,#Thanksgiving,#HealthyHolidays,#Ebola,#CDCGrandRounds,#YoSoyCDC,#IamCDC,#IamCDC,#VitalSigns,#DoubleTap,#VetoViolence",22,"@google,@CDC_eHealth,@CDC_eHealth",3
2015-12-20 20:22:28,13244,108,3922,"#UndertheLens,#biology,#science,#StarWars,#flu,#YearInSearch,#GetAFluVax,#PHNerd,#globalhealthsecurity,#CDCGrandRounds,#HealthyHolidays,#IamCDC,#Thanksgiving,#HealthyHolidays,#Ebola,#CDCGrandRounds,#YoSoyCDC,#IamCDC,#IamCDC,#VitalSigns,#DoubleTap,#VetoViolence",22,"@google,@CDC_eHealth,@CDC_eHealth",3
2015-12-20 20:31:30,13244,108,3922,"#UndertheLens,#biology,#science,#StarWars,#flu,#YearInSearch,#GetAFluVax,#PHNerd,#globalhealthsecurity,#CDCGrandRounds,#HealthyHolidays,#IamCDC,#Thanksgiving,#HealthyHolidays,#Ebola,#CDCGrandRounds,#YoSoyCDC,#IamCDC,#IamCDC,#VitalSigns,#DoubleTap,#VetoViolence",22,"@google,@CDC_eHealth,@CDC_eHealth",3
2015-12-27 03:27:59,13244,108,3922,"#UndertheLens,#biology,#science,#StarWars,#flu,#YearInSearch,#GetAFluVax,#PHNerd,#globalhealthsecurity,#CDCGrandRounds,#HealthyHolidays,#IamCDC,#Thanksgiving,#HealthyHolidays,#Ebola,#CDCGrandRounds,#YoSoyCDC,#IamCDC,#IamCDC,#VitalSigns,#DoubleTap,#VetoViolence",22,"@google,@CDC_eHealth,@CDC_eHealth",3
2015-12-27 08:20:41,13244,108,3922,"#UndertheLens,#biology,#science,#StarWars,#flu,#YearInSearch,#GetAFluVax,#PHNerd,#globalhealthsecurity,#CDCGrandRounds,#HealthyHolidays,#IamCDC,#Thanksgiving,#HealthyHolidays,#Ebola,#CDCGrandRounds,#YoSoyCDC,#IamCDC,#IamCDC,#VitalSigns,#DoubleTap,#VetoViolence",22,"@google,@CDC_eHealth,@CDC_eHealth",3
2015-12-27 12:17:08,13244,108,3922,"#UndertheLens,#biology,#science,#StarWars,#flu,#YearInSearch,#GetAFluVax,#PHNerd,#globalhealthsecurity,#CDCGrandRounds,#HealthyHolidays,#IamCDC,#Thanksgiving,#HealthyHolidays,#Ebola,#CDCGrandRounds,#YoSoyCDC,#IamCDC,#IamCDC,#VitalSigns,#DoubleTap,#VetoViolence",22,"@google,@CDC_eHealth,@CDC_eHealth",3
2016-01-20 20:37:18,15044,76,3773,"#LivingMyPact,#LivingMyPact,#LivingMyPACT,#1in33,#CDCGrandRounds,#LivingMyPact,#UndertheLens,#biology,#science,#LivingMyPACT,#1in33,#IamCDC,#1in33,#VitalSigns,#1in33,#IamCDC,#LivingMyPACT,#UndertheLens,#biology,#science,#IAmCDC,#UndertheLens,#biology,#science,#IAmCDC",25,@CDC_eHealth,1
2016-01-20 20:37:20,,,,,,,
2016-01-25 15:41:07,15456,65,3642,"#LivingMyPACT,#UndertheLens,#biology,#science,#CDCTips,#CDCTips,#CDCTips,#1in33,#LivingMyPact,#LivingMyPact,#LivingMyPACT,#1in33,#CDCGrandRounds,#LivingMyPact,#UndertheLens,#biology,#science,#LivingMyPACT,#1in33,#IamCDC,#1in33,#VitalSigns,#1in33,#IamCDC,#LivingMyPACT",25,@CDC_eHealth,1
2016-01-27 03:26:55,,,,,,,
2016-02-02 00:48:22,15972,79,3912,"#UndertheLens,#biology,#science,#LivingMyPACT,#UndertheLens,#biology,#science,#CDCTips,#CDCTips,#CDCTips,#1in33,#LivingMyPact,#LivingMyPact,#LivingMyPACT,#1in33,#CDCGrandRounds,#LivingMyPact,#UndertheLens,#biology,#science,#LivingMyPACT,#1in33,#IamCDC,#1in33,#VitalSigns",25,@CDC_eHealth,1
2016-02-02 05:55:52,15972,79,3912,"#UndertheLens,#biology,#science,#LivingMyPACT,#UndertheLens,#biology,#science,#CDCTips,#CDCTips,#CDCTips,#1in33,#LivingMyPact,#LivingMyPact,#LivingMyPACT,#1in33,#CDCGrandRounds,#LivingMyPact,#UndertheLens,#biology,#science,#LivingMyPACT,#1in33,#IamCDC,#1in33,#VitalSigns",25,@CDC_eHealth,1
