Date,Follower_count,Comment_count,Like_count,Hashtags,Hashtag_count,Mentions,Mention_count
2015-09-15 15:26:48,218,10,45,"#Bihar,#India,#womeshould,#powerwomen",4,@prashantpanjiar,1
2015-09-15 15:26:49,218,10,45,"#Bihar,#India,#womeshould,#powerwomen",4,@prashantpanjiar,1
2015-09-15 15:26:52,218,10,45,"#Bihar,#India,#womeshould,#powerwomen",4,@prashantpanjiar,1
2015-12-29 15:28:18,13236,74,3944,"#Jharkhand,#India,#selfhelpgroup,#womenshould,#powerwomen,#pradan,#womenempowerment,#agriculture,#Students,#School,#Beijing,#Shijingshan,#China,#school,#bebold4girls,#girlrising,#girlhero,#letgirlslearn,#student,#maternity,#Lilongwe,#Malawi,#mothers,#baby,#mothers,#HIV,#breastfeeding,#newborn,#momentsmatter,#GlobalMNH,#newborns,#babies,#mom,#progress,#rice,#Barabanki,#UttarPradesh,#India,#Riceresearch,#poverty,#hunger,#farmers,#Asia,#Africa,#smallholder,#agriculture,#farming,#food,#Students,#WhiteCenter,#Seattle,#Washington,#collegeready,#letgirlslearn,#seattlelife,#Ethiopia,#students,#HowardUniversity,#WashingtonDC,#science,#technology,#engineering,#mathematics,#nationalsciencefoundation,#highered,#STEM,#collegeready,#student,#ElementarySchool,#Washington,#collegeready,#villagechief,#bednets,#Pailin,#Cambodia,#malaria,#DefeatMalaria,#globalhealth,#Nurse,#malaria,#Tanzania,#globalhealth,#DefeatMalaria,#antiretroviral,#Lusaka,#Zambia,#HIV,#AIDS,#worldaidsday,#worldaidsday2015,#pepfar,#WAD2015,#gettingtozero,#rethinkhiv,#Kigali,#Rwanda,#worldaidsday,#worldaidsday2015,#pepfar,#globalhealth,#globalcitizens,#rethinkhiv,#gettingtozero,#PEPFAR,#barbershop,#Ethiopia,#HIVstatus,#worldaidsday,#worldaidsday2015,#pepfar,#rethinkhiv,#globalcitizens,#gettingtozero,#WorldAIDSDay,#GivingTuesday,#Lusaka,#Zambia,#worldaidsday,#worldaidsday2015,#pepfar,#WAD2015,#gettingtozero,#rethinkhiv,#students,#Spokane,#Washington,#jobskills,#communityservice,#communities,#helpothers,#globalcitizens,#Thanksgiving,#Zanzibar,#Tanzania,#Cassava,#smallholder,#helpothers,#givingtuesday,#Morogoro,#Tanzania,#farmers,#maize,#smallholder,#Africa,#helpothers,#givingtuesday,#students,#Danapur,#Bihar,#India,#education,#powerwomen,#helpothers,#globalcitizens,#SouthSeattle,#Washington,#donatetime,#communities,#makeadifference,#givingwhatwecan,#liveunited,#helpothers,#globalcitizens,#Patna,#Bihar,#India,#Patna,#Bihar,#India,#Patna,#Bihar,#India,#Patna,#Bihar,#India",175,"@Prada_India,@prashantpanjiar,@fredericcourbet,@sanjitdas,@mhansonphoto,@mulugetaayene,@mhansonphoto,@prashantpanjiar,@fredericcourbet,@lauraelizabethpohl,@RED,@youthbuildusa,@frankhuster,@fredericcourbet,@prashantpanjiar,@habitatforhumanity,@Unitedway.,@givingtuesday,@barbarakinney",19
2016-09-27 15:27:42,39307,97,4560,"#UNGA,#endpolio,#nyc,#UNGA,#Ethiopia,#healthcare,#GlobalGoals,#tbt,#UNGA,#storytelling,#mothstories,#UNGA,#GlobalGoals,#2030together,#UNGA,#GlobalGoals,#GlobalGoals,#11yearold,#4yearold,#Butajira,#Ethiopia,#education,#educationforall,#progress,#bettermakeroom,#UttarPradesh,#India,#progress,#momentsmatter,#maternalhealth,#Trypanosomiasis,#Uganda,#progress,#globalhealth,#africansleepingsickness,#infectiousdisease,#Children,#Uganda,#tsetsefly,#trypanosomiasis,#progress,#africansleepingsickness,#globalhealth,#infectiousdisease,#BORDA,#CCDSociety,#Devanahalli,#sanitation,#sustainable,#Devanahalli,#Bangalore,#natural,#costeffective,#energyefficient",54,"@mothstories.,@melindafrenchgates,@indianisms,@jiroose,@jiroose",5
2016-10-11 15:27:56,40988,81,4034,"#Uganda,#trypanosomiasis,#progress,#infectiousdisease,#UCF,#UCF,#UCF,#Tanzania,#malaria,#progress,#DefeatMalaria,#globalhealth,#educationforall,#progress,#bettermakeroom,#UNGA,#endpolio,#nyc,#UNGA,#Ethiopia,#healthcare,#GlobalGoals,#tbt,#UNGA,#storytelling,#mothstories,#UNGA,#GlobalGoals,#2030together,#UNGA,#GlobalGoals,#GlobalGoals",32,"@jiroose,@gatesfoundation,@southseattlecollege,@evanmcglinnphoto,@mothstories.,@melindafrenchgates",6
2016-10-18 18:25:59,41805,58,3913,"#InvisibleGirls,#girlscount,#DayoftheGirl,#Uganda,#trypanosomiasis,#progress,#infectiousdisease,#UCF,#UCF,#UCF,#Tanzania,#malaria,#progress,#DefeatMalaria,#globalhealth,#educationforall,#progress,#bettermakeroom,#UNGA,#endpolio,#nyc,#UNGA,#Ethiopia,#healthcare,#GlobalGoals,#tbt,#UNGA,#storytelling,#mothstories,#UNGA,#GlobalGoals,#2030together",32,"@melindafrenchgates,@planinternational.,@jiroose,@gatesfoundation,@southseattlecollege,@evanmcglinnphoto,@mothstories.",7
2017-05-02 15:27:01,62366,163,6065,"#VaccinesWork,#vaccineswork,#IWD2017,#WomensDay,#familyplanning",5,"@suedesmondhellmann,@andrewesiebo,@andrewesiebo,@andrewesiebo,@andrewesiebo,@andrewesiebo,@gailycurl",7
2017-05-02 15:27:02,62366,163,6065,"#VaccinesWork,#vaccineswork,#IWD2017,#WomensDay,#familyplanning",5,"@suedesmondhellmann,@andrewesiebo,@andrewesiebo,@andrewesiebo,@andrewesiebo,@andrewesiebo,@gailycurl",7
2017-09-26 15:26:03,62366,163,6065,"#VaccinesWork,#vaccineswork,#IWD2017,#WomensDay,#familyplanning",5,"@suedesmondhellmann,@andrewesiebo,@andrewesiebo,@andrewesiebo,@andrewesiebo,@andrewesiebo,@gailycurl",7
2017-10-03 15:26:43,62366,163,6065,"#VaccinesWork,#vaccineswork,#IWD2017,#WomensDay,#familyplanning",5,"@suedesmondhellmann,@andrewesiebo,@andrewesiebo,@andrewesiebo,@andrewesiebo,@andrewesiebo,@gailycurl",7
