Date,Follower_count,Comment_count,Like_count,Hashtags,Hashtag_count,Mentions,Mention_count
2013-02-19 19:12:45,1038,20,802,"#Mali,#UNICEF,#idps,#UNICEF,#Mali,#idps,#throwbackthursday,#vintageunicef,#smile,#throwbackthursday,#linus,#throwbackthursdays,#tbt,#vintageunicef,#unicef,#throwbackthursday,#tbt,#throwbackthursdays,#vintageunicef,#unicef,#novak,#djokovic,#unicef,#unicef,#childrenofsyria,#babyshower,#unicef,#shakira,#gerard,#pique,#UNICEF,#HIV,#AMA,#WorldAIDSDay,#AIDS,#WAD2012,#AIDSfree,#unicef,#AIDSfree,#unicef,#wtd2012,#promise4children,#toiletpaper,#toilet",44,"@itsshakira,@3gerardpique",2
2013-05-03 08:21:36,,,,,,,
2013-11-26 07:50:19,,,,,,,
2013-11-27 14:52:15,,,,,,,
2013-11-28 18:52:35,,,,,,,
2013-12-03 08:09:45,21785,344,20477,"#WorldAIDSDay,#HIV,#AIDSfree,#AIDS,#WAD,#WAD2013,#HIV,#AIDS,#AIDSfree,#WAD,#WorldAIDSDay,#Philippines,#ThereafterHaiyan,#Haiyan,#Philippines,#Rihanna,#ThereafterHaiyan,#Malala,#ENDviolence,#iammalala,#toilets4all,#worldtoiletday,#WorldToiletDay,#toilets4all,#UNICEF,#Tacloban,#Haiyan,#Philippines,#toilets4all,#regram,#unselfie,#Haiyan,#toilets4all,#Haiyan,#UNICEF,#unselfie,#Haiyan,#polio,#endpolio,#Syria,#childrenofsyria,#childrenofsyria,#regram,#Fiji,#iwashmyhands,#dayofthegirl,#dayofthegirl,#dayofthegirl",48,"@unicefphils,@unicefpacific",2
2013-12-03 13:21:45,21813,346,20487,"#WorldAIDSDay,#HIV,#AIDSfree,#AIDS,#WAD,#WAD2013,#HIV,#AIDS,#AIDSfree,#WAD,#WorldAIDSDay,#Philippines,#ThereafterHaiyan,#Haiyan,#Philippines,#Rihanna,#ThereafterHaiyan,#Malala,#ENDviolence,#iammalala,#toilets4all,#worldtoiletday,#WorldToiletDay,#toilets4all,#UNICEF,#Tacloban,#Haiyan,#Philippines,#toilets4all,#regram,#unselfie,#Haiyan,#toilets4all,#Haiyan,#UNICEF,#unselfie,#Haiyan,#polio,#endpolio,#Syria,#childrenofsyria,#childrenofsyria,#regram,#Fiji,#iwashmyhands,#dayofthegirl,#dayofthegirl,#dayofthegirl",48,"@unicefphils,@unicefpacific",2
2013-12-04 23:48:22,,,,,,,
2013-12-05 06:17:15,,,,,,,
2013-12-05 15:24:55,,,,,,,
2013-12-20 02:30:55,25069,446,28374,"#childrenofsyria,#CARcrisis,#Birthregistration,#UNICEF,#birthregistration,#UNICEF,#birthregistration,#UNICEF,#happybirthday,#birthday,#birthregistration,#UNICEF,#Haiyan,#Tacloban,#Philippines,#GiveBackPhilippines,#Brooklyn,#selfie,#UNICEF,#UNICEF,#Mandela,#Philippines,#Haiyan,#UNICEF,#Philippines,#Haiyan,#GiveBackPhilippines,#regram,#igers,#UNICEF,#regram,#igers,#NYC,#UNICEF,#katyperry,#unconditionallyUNICEF,#NYC,#katyperry,#unconditionallyUNICEF,#UNICEF,#GivingTuesday,#unselfie,#Haiyan,#regram,#WorldAIDSDay,#HIV,#AIDSfree,#AIDS,#WAD,#WAD2013,#HIV,#AIDS,#AIDSfree,#WAD,#WorldAIDSDay,#Philippines,#ThereafterHaiyan,#Haiyan,#Philippines,#Rihanna,#ThereafterHaiyan,#Malala,#ENDviolence,#iammalala",64,"@justinbieber,@katyperry.,@JustinBieber,@aliveinnyc,@katyperry,@sweatengine,@katyperry,@katyperry,@unicefphils,@daphneop",10
2013-12-31 17:12:06,26477,439,29557,"#3,#top10,#4,#dayofthegirl,#Malala,#5,#top10,#6,#top10,#7,#top10,#dayofthegirl,#8,#top10,#9,#dayofthegirl,#10,#thisability,#SouthSudan,#childrenofsyria,#CARcrisis,#Birthregistration,#UNICEF,#birthregistration,#UNICEF,#birthregistration,#UNICEF,#happybirthday,#birthday,#birthregistration,#UNICEF,#Haiyan,#Tacloban,#Philippines,#GiveBackPhilippines,#Brooklyn,#selfie,#UNICEF,#UNICEF,#Mandela,#Philippines,#Haiyan,#UNICEF,#Philippines,#Haiyan,#GiveBackPhilippines",46,"@justinbieber,@katyperry.,@JustinBieber",3
2014-01-03 03:34:41,,,,,,,
2014-01-07 15:46:48,,,,,,,
2014-01-10 05:11:48,,,,,,,
2014-01-15 14:10:50,,,,,,,
2014-01-24 02:29:32,29536,442,32721,"#UNICEF,#Afghanistan,#MLK,#childrenofsyria,#polio,#India,#endpolio,#UN,#childrenofsyria,#NOlostgeneration,#childrenofsyria,#NoLostGeneration,#1,#2014,#Mandela,#2,#3,#top10,#4,#dayofthegirl,#Malala,#5,#top10,#6,#top10,#7,#top10,#dayofthegirl,#8,#top10,#9,#dayofthegirl,#10,#thisability",34,@unicefindia,1
2014-01-25 17:05:34,,,,,,,
2014-02-22 03:08:07,,,,,,,
2014-02-22 03:08:07,,,,,,,
2014-03-07 22:05:56,36722,530,33900,"#childrenofsyria,#NOlostgeneration,#Syria,#SouthSudan,#photooftheweek,#Turkey,#childrenofsyria,#NOlostgeneration,#Syria,#children,#HAC2014,#childrenofsyria,#Syria,#Haiyan,#Philippines,#UNICEF,#Beckham,#polio,#India,#polio,#endpolio,#UNICEF,#Beckham,#Haiyan,#Beckham,#ValentinesDay,#Tacloban,#Philippines,#UNICEF,#Valentine,#UNICEF,#Beckham,#Tacloban,#Philippines,#Haiyan,#UNICEF,#Afghanistan,#data,#data4children,#inequality,#poverty,#childbirth,#Data,#data4children,#Tanzania,#birthregistration,#data4children,#Chad,#data,#UNICEF,#education,#data4children,#data,#FGM,#endFGM,#data4children",56,@unicefafghanistan,1
2014-03-11 15:50:26,37427,530,36036,"#Syria,#childrenofsyria,#NOlostgeneration,#education,#childrenofsyria,#NOlostgeneration,#Syria,#SouthSudan,#photooftheweek,#Turkey,#childrenofsyria,#NOlostgeneration,#Syria,#children,#HAC2014,#childrenofsyria,#Syria,#Haiyan,#Philippines,#UNICEF,#Beckham,#polio,#India,#polio,#endpolio,#UNICEF,#Beckham,#Haiyan,#Beckham,#ValentinesDay,#Tacloban,#Philippines,#UNICEF,#Valentine,#UNICEF,#Beckham,#Tacloban,#Philippines,#Haiyan,#UNICEF,#Afghanistan,#data,#data4children,#inequality,#poverty,#childbirth,#Data,#data4children,#Tanzania,#birthregistration,#data4children,#Chad,#data,#UNICEF,#education,#data4children",56,@unicefafghanistan,1
2014-04-07 21:53:18,,,,,,,
2014-04-19 04:15:11,,,,,,,
2014-09-26 02:13:47,,,,,,,
2014-09-26 02:13:47,,,,,,,
2014-12-11 18:52:29,148079,920,78782,"#CRC,#Gaza,#UNICEF,#Palestine,#IMAGINE,#CRC25,#Zimbabwe,#education,#Brazil,#Jordan,#Africa,#UNICEF,#EVERYchild,#Gaza,#UNICEF,#Palestine,#photooftheweek,#Iraq,#UNICEF,#CentralAfricanRepublic,#UNICEF,#backtoschool,#education,#CARcrisis,#Leyte,#Philippines,#Hagupit,#RubyPH,#UNICEF,#Gaza,#Gaza,#Palestine,#UNICEF,#Mandela,#SouthAfrica,#RSA,#UNICEF,#India,#handwashing,#diarrhoea,#UNICEF,#Monrovia,#Liberia,#Ebola,#EbolaResponse,#UNICEF,#TBT,#UNICEF,#Indonesia,#EVERYchild,#thisability,#Gaza,#Gaza,#UNICEF,#Palestine,#Monrovia,#Ebola,#Ebola,#EbolaResponse,#UNICEF,#polio,#EVERYchild,#CRC,#CRC25,#UNICEF,#Nepal,#HIV,#WorldAIDSDay,#AIDSfree,#UNICEF,#EVERYchild,#UNICEF,#CRC,#CRC25,#Gaza,#Palestine,#everydayvoices,#UNICEF,#WorldAIDSDay,#AIDSfree",80,"@unicefindia,@Odesza",2
2015-02-16 18:49:54,,,,,,,
2015-02-16 18:49:54,,,,,,,
2015-03-17 13:22:32,,,,,,,
2015-03-22 11:00:11,,,,,,,
2015-03-25 09:20:29,,,,,,,
2015-03-30 07:10:20,,,,,,,
2015-04-18 21:12:46,,,,,,,
2015-04-23 10:15:16,,,,,,,
2015-05-28 22:03:17,351128,0,0,,0,,0
2015-06-18 10:35:46,416366,1644,265262,"#Nepal,#Ethiopia,#UNICEF,#endchildmarriage,#UNICEF,#SouthSudan,#education,#Iraq,#refugees,#UNICEF,#Syria,#TBT,#Iraq,#Kurdistan,#malaria,#UNICEF,#ThrowbackThursday,#Vintage,#EVERYchild,#Bangkok,#Thailand,#Messi28,#Ethiopia,#UNICEF,#endchildmarriage,#Chad,#Nigeria,#Ethiopia,#UNICEF,#education,#nutrition,#EVERYchild,#India,#UNICEF,#Yemen,#refugees,#Rwanda,#polio,#measles,#UNICEF,#Burundi,#Endpolio,#vaccineswork,#PhotooftheWeek,#NepalEarthquakes,#Malawi,#HIV,#AIDSfree,#UNICEF,#SergioRamos,#Chad,#Nigeria,#UNICEF,#WorldRefugeeDay,#FathersDay,#Nepal,#NepalEarthquake,#UNICEF,#Vanuatu,#measles,#UNICEF,#CyclonePam,#TBT,#ThrowbackThursday,#UNICEF,#Education,#Nigeria,#Syria,#Lebanon,#childrenofsyria,#India,#UNICEF,#vaccineswork",73,"@unicef.chad,@fcbarcelona,@leomessi,@UNICEF_Es,@SR4oficial,@UNICEFLebanon,@beyond_association.",7
2015-06-28 00:47:05,416366,1644,265262,"#Nepal,#Ethiopia,#UNICEF,#endchildmarriage,#UNICEF,#SouthSudan,#education,#Iraq,#refugees,#UNICEF,#Syria,#TBT,#Iraq,#Kurdistan,#malaria,#UNICEF,#ThrowbackThursday,#Vintage,#EVERYchild,#Bangkok,#Thailand,#Messi28,#Ethiopia,#UNICEF,#endchildmarriage,#Chad,#Nigeria,#Ethiopia,#UNICEF,#education,#nutrition,#EVERYchild,#India,#UNICEF,#Yemen,#refugees,#Rwanda,#polio,#measles,#UNICEF,#Burundi,#Endpolio,#vaccineswork,#PhotooftheWeek,#NepalEarthquakes,#Malawi,#HIV,#AIDSfree,#UNICEF,#SergioRamos,#Chad,#Nigeria,#UNICEF,#WorldRefugeeDay,#FathersDay,#Nepal,#NepalEarthquake,#UNICEF,#Vanuatu,#measles,#UNICEF,#CyclonePam,#TBT,#ThrowbackThursday,#UNICEF,#Education,#Nigeria,#Syria,#Lebanon,#childrenofsyria,#India,#UNICEF,#vaccineswork",73,"@unicef.chad,@fcbarcelona,@leomessi,@UNICEF_Es,@SR4oficial,@UNICEFLebanon,@beyond_association.",7
