Date,Follower_count,Comment_count,Like_count,Hashtags,Hashtag_count,Mentions,Mention_count
2013-12-23 08:03:22,578,275,0,,0,,0
2017-02-21 10:42:48,406512,334,37471,"#WorldHumanitarianDay,#NotATarget,#Afghanistan,#EndPolio,#VaccinesWork,#Yemen,#cholera,#Breastfeeding,#WorldHepatitisDay,#HepB,#HepC,#hepatitis,#Yemen,#cholera,#SupportYemen,#Pakistan,#EndPolio,#NoTobacco,#NoSmoking,#health,#publichealth,#NoTobacco,#NoTobacco,#NoSmoking,#health,#publichealth,#SDGs,#water,#lakes,#sanitation,#health,#PublicHealth,#GlobalHealth,#DrinkingWater,#SDGs,#ambulances,#Hodeida,#Yemen",38,"@whoyemen,@UNICEF,@unicef,@emiratesrc,@dfid_uk,@worldbank.",6
2017-07-17 01:46:44,,,,,,,
2017-07-17 19:38:31,406512,334,37471,"#WorldHumanitarianDay,#NotATarget,#Afghanistan,#EndPolio,#VaccinesWork,#Yemen,#cholera,#Breastfeeding,#WorldHepatitisDay,#HepB,#HepC,#hepatitis,#Yemen,#cholera,#SupportYemen,#Pakistan,#EndPolio,#NoTobacco,#NoSmoking,#health,#publichealth,#NoTobacco,#NoTobacco,#NoSmoking,#health,#publichealth,#SDGs,#water,#lakes,#sanitation,#health,#PublicHealth,#GlobalHealth,#DrinkingWater,#SDGs,#ambulances,#Hodeida,#Yemen",38,"@whoyemen,@UNICEF,@unicef,@emiratesrc,@dfid_uk,@worldbank.",6
2017-08-19 19:27:54,406512,334,37471,"#WorldHumanitarianDay,#NotATarget,#Afghanistan,#EndPolio,#VaccinesWork,#Yemen,#cholera,#Breastfeeding,#WorldHepatitisDay,#HepB,#HepC,#hepatitis,#Yemen,#cholera,#SupportYemen,#Pakistan,#EndPolio,#NoTobacco,#NoSmoking,#health,#publichealth,#NoTobacco,#NoTobacco,#NoSmoking,#health,#publichealth,#SDGs,#water,#lakes,#sanitation,#health,#PublicHealth,#GlobalHealth,#DrinkingWater,#SDGs,#ambulances,#Hodeida,#Yemen",38,"@whoyemen,@UNICEF,@unicef,@emiratesrc,@dfid_uk,@worldbank.",6
2017-09-17 06:31:48,,,,,,,
2017-10-01 13:01:40,406512,334,37471,"#WorldHumanitarianDay,#NotATarget,#Afghanistan,#EndPolio,#VaccinesWork,#Yemen,#cholera,#Breastfeeding,#WorldHepatitisDay,#HepB,#HepC,#hepatitis,#Yemen,#cholera,#SupportYemen,#Pakistan,#EndPolio,#NoTobacco,#NoSmoking,#health,#publichealth,#NoTobacco,#NoTobacco,#NoSmoking,#health,#publichealth,#SDGs,#water,#lakes,#sanitation,#health,#PublicHealth,#GlobalHealth,#DrinkingWater,#SDGs,#ambulances,#Hodeida,#Yemen",38,"@whoyemen,@UNICEF,@unicef,@emiratesrc,@dfid_uk,@worldbank.",6
2017-10-01 13:08:48,406512,334,37471,"#WorldHumanitarianDay,#NotATarget,#Afghanistan,#EndPolio,#VaccinesWork,#Yemen,#cholera,#Breastfeeding,#WorldHepatitisDay,#HepB,#HepC,#hepatitis,#Yemen,#cholera,#SupportYemen,#Pakistan,#EndPolio,#NoTobacco,#NoSmoking,#health,#publichealth,#NoTobacco,#NoTobacco,#NoSmoking,#health,#publichealth,#SDGs,#water,#lakes,#sanitation,#health,#PublicHealth,#GlobalHealth,#DrinkingWater,#SDGs,#ambulances,#Hodeida,#Yemen",38,"@whoyemen,@UNICEF,@unicef,@emiratesrc,@dfid_uk,@worldbank.",6
2017-10-09 23:55:47,,,,,,,
2017-10-17 21:40:32,406512,334,37471,"#WorldHumanitarianDay,#NotATarget,#Afghanistan,#EndPolio,#VaccinesWork,#Yemen,#cholera,#Breastfeeding,#WorldHepatitisDay,#HepB,#HepC,#hepatitis,#Yemen,#cholera,#SupportYemen,#Pakistan,#EndPolio,#NoTobacco,#NoSmoking,#health,#publichealth,#NoTobacco,#NoTobacco,#NoSmoking,#health,#publichealth,#SDGs,#water,#lakes,#sanitation,#health,#PublicHealth,#GlobalHealth,#DrinkingWater,#SDGs,#ambulances,#Hodeida,#Yemen",38,"@whoyemen,@UNICEF,@unicef,@emiratesrc,@dfid_uk,@worldbank.",6
2017-11-16 19:06:04,406512,334,37471,"#WorldHumanitarianDay,#NotATarget,#Afghanistan,#EndPolio,#VaccinesWork,#Yemen,#cholera,#Breastfeeding,#WorldHepatitisDay,#HepB,#HepC,#hepatitis,#Yemen,#cholera,#SupportYemen,#Pakistan,#EndPolio,#NoTobacco,#NoSmoking,#health,#publichealth,#NoTobacco,#NoTobacco,#NoSmoking,#health,#publichealth,#SDGs,#water,#lakes,#sanitation,#health,#PublicHealth,#GlobalHealth,#DrinkingWater,#SDGs,#ambulances,#Hodeida,#Yemen",38,"@whoyemen,@UNICEF,@unicef,@emiratesrc,@dfid_uk,@worldbank.",6
2018-01-17 05:11:06,,,,,,,
2018-02-24 03:12:31,,,,,,,
2018-03-20 06:36:57,832500,1441,122925,"#DYK,#WWWeek,#BeatNCDs,#NoTobacco,#AntibioticResistance,#StopSuperbugs,#Ebola,#DRC,#Rohingya,#Bangladesh,#measles,#VaccinesWork,#Measles,#VaccinesWork,#DRC,#malaria,#Ebola,#WorldHumanitarianDay,#NotATarget,#WorldHumanitarianDay,#NotATarget,#HealthForAll",22,"@unicef,@whoeurope",2
2018-04-27 01:40:26,,,,,,,
2018-05-20 10:00:21,832500,1441,122925,"#DYK,#WWWeek,#BeatNCDs,#NoTobacco,#AntibioticResistance,#StopSuperbugs,#Ebola,#DRC,#Rohingya,#Bangladesh,#measles,#VaccinesWork,#Measles,#VaccinesWork,#DRC,#malaria,#Ebola,#WorldHumanitarianDay,#NotATarget,#WorldHumanitarianDay,#NotATarget,#HealthForAll",22,"@unicef,@whoeurope",2
2018-06-27 02:39:47,832500,1441,122925,"#DYK,#WWWeek,#BeatNCDs,#NoTobacco,#AntibioticResistance,#StopSuperbugs,#Ebola,#DRC,#Rohingya,#Bangladesh,#measles,#VaccinesWork,#Measles,#VaccinesWork,#DRC,#malaria,#Ebola,#WorldHumanitarianDay,#NotATarget,#WorldHumanitarianDay,#NotATarget,#HealthForAll",22,"@unicef,@whoeurope",2
2018-07-21 01:35:01,,,,,,,
2018-08-29 22:51:42,832500,1441,122925,"#DYK,#WWWeek,#BeatNCDs,#NoTobacco,#AntibioticResistance,#StopSuperbugs,#Ebola,#DRC,#Rohingya,#Bangladesh,#measles,#VaccinesWork,#Measles,#VaccinesWork,#DRC,#malaria,#Ebola,#WorldHumanitarianDay,#NotATarget,#WorldHumanitarianDay,#NotATarget,#HealthForAll",22,"@unicef,@whoeurope",2
2018-09-01 05:14:35,832500,1441,122925,"#DYK,#WWWeek,#BeatNCDs,#NoTobacco,#AntibioticResistance,#StopSuperbugs,#Ebola,#DRC,#Rohingya,#Bangladesh,#measles,#VaccinesWork,#Measles,#VaccinesWork,#DRC,#malaria,#Ebola,#WorldHumanitarianDay,#NotATarget,#WorldHumanitarianDay,#NotATarget,#HealthForAll",22,"@unicef,@whoeurope",2
2018-11-21 01:46:14,,,,,,,
2018-11-21 01:46:15,1107715,1079,110679,"#WorldChildrensDay,#WorldChildren,#malaria,#DYK,#InternationalMensDay,#WorldToiletDay,#RoadsHaveStories,#WorldPrematurityDay,#preterm,#COPD,#airpollution,#AntimicrobialResistance,#antibiotics,#diabetes,#BeatNCDs,#WorldDiabetesDay,#BeatNCDs,#antibiotics,#StopDrugResistance,#AntibioticResistance,#StopDrugResistance,#UnitedNations,#HealthForAll",23,,0
2018-11-21 01:46:15,1107715,1079,110679,"#WorldChildrensDay,#WorldChildren,#malaria,#DYK,#InternationalMensDay,#WorldToiletDay,#RoadsHaveStories,#WorldPrematurityDay,#preterm,#COPD,#airpollution,#AntimicrobialResistance,#antibiotics,#diabetes,#BeatNCDs,#WorldDiabetesDay,#BeatNCDs,#antibiotics,#StopDrugResistance,#AntibioticResistance,#StopDrugResistance,#UnitedNations,#HealthForAll",23,,0
2018-12-01 02:50:12,,,,,,,
2018-12-01 02:50:13,1142079,1126,95812,"#Measles,#VaccinesWork,#Measles,#VaccinesWork,#EndViolence,#16Days,#HealthWorkers,#EndViolence,#HearMeToo,#EndViolence,#16Days,#HearMeToo,#Yemen,#cholera,#NotATarget,#suicide,#depression,#LetsTalk,#BeatNCDs,#cervicalcancer,#Yemen,#YemenCantWait,#WorldChildrensDay,#WorldChildren,#malaria,#UnitedNations,#HealthForAll",27,@unwomen,1
2018-12-01 02:50:13,1142079,1126,95812,"#Measles,#VaccinesWork,#Measles,#VaccinesWork,#EndViolence,#16Days,#HealthWorkers,#EndViolence,#HearMeToo,#EndViolence,#16Days,#HearMeToo,#Yemen,#cholera,#NotATarget,#suicide,#depression,#LetsTalk,#BeatNCDs,#cervicalcancer,#Yemen,#YemenCantWait,#WorldChildrensDay,#WorldChildren,#malaria,#UnitedNations,#HealthForAll",27,@unwomen,1
2018-12-07 22:07:28,,,,,,,
2018-12-07 22:07:28,1165564,947,91114,"#RoadSafety,#ClimateAction,#ClimateChange,#ClimateChange,#ClimateAction,#COP24,#disability,#photography,#ADay4All,#FifteenPercent,#HIV,#Africa,#KnowYourStatus,#WorldAIDSDay,#HIV,#KnowYourStatus,#WorldAIDSDay,#HIV,#KnowYourStatus,#Measles,#VaccinesWork,#Measles,#VaccinesWork,#EndViolence,#16Days,#HealthWorkers,#EndViolence,#HearMeToo,#UnitedNations,#HealthForAll",30,"@worldbank,@ungeneva,@christiantassophotography,@fifteenpercentproject,@unwomen",5
2020-02-16 17:47:11,2500000,,,"#COVID19,#BeatNCDs,#coronavirus,#coronavirus,#MythBusting,#coronavirus,#travel,#coronavirus,#ClimateChange,#wef20,#NoTobacco,#CervicalCancer,#CervicalHealthMonth,#healthworkers,#SupportNursesAndMidwives,#ClimateChange,#AirPollution,#UnitedNations,#HealthForAll",19,"@who,@drtedros",2
2020-12-29 01:41:48,8900000,,,"#InThisTogether,#COVID19,#ScienceIn5,#COVID19,#COVID19,#SantaClaus,#COVID19,#BeActive,#COVID19,#ScienceIn5,#COVID19,#ScienceIn5,#Nigeria,#YellowFever,#WHOImpact,#UniversalHealthCoverage,#HealthForAll,#PrimaryHealthCare,#COVID19,#UniversalHealthCoverage,#HealthForAll,#CervicalCancer,#COVID19,#HumanRights,#HealthForAll,#StandUp4HumanRights,#DYK,#NoTobacco,#UnitedNations,#HealthForAll",30,"@mvankerkhove,@mvankerkhove,@noorimages,@benedicte_kurzen",4
