Date,Follower_count,Comment_count,Like_count,Hashtags,Hashtag_count,Mentions,Mention_count
2013-01-28 10:57:42,2508,208,3216,"#bestdayever,#skiing,#winning,#winter,#sacredchocolate,#GoldenGateBridge,#sanfrancisco,#california,#raw,#rawfood,#organic,#gmofree,#kale,#petaluma,#blues,#livemusic,#bestnightever,#oranges,#SanFrancisco,#springwater,#winning,#winter,#noniland,#buddha,#candles,#bees,#beeswax,#nutriblast,#nutribullet,#noniland,#bestdayever,#thebestdayever,#reishi,#cordyceps,#honey,#spirulina,#springwater,#hawaii,#maori,#bestdayever,#winning,#raw,#rawfood,#jackfruit,#bestdayever,#noniland,#harddaysnight,#hawaii,#noniland,#bestgiftever,#chocolate,#raw,#jing,#superherbs,#superfoods,#chocolatebar,#noniland,#nonilandhoney,#coconut,#reishi,#cordyceps,#hawaii,#nutribullet,#nutriblast,#raw,#rawfood,#superfoods,#superherbs,#fruit,#chocolate,#hawaii,#paradise,#maui,#rainbow,#volcano,#kilauea,#lava,#hawaii,#BigIsland,#thebestdayever,#ocean,#sungaze,#hawaii,#lava,#volcano,#ormus,#mana,#rawfood,#exotic,#fruit,#instamood,#paradise,#medicinalmushrooms,#mushrooms,#foraging,#antitumor,#immunity,#cacao,#avocado,#chocolate,#chocolatepope,#hawaii,#gecko,#sleestak,#landofthelost,#chaka,#bff",107,"@sacredchocolate,@rawfoodie11",2
2014-03-26 16:09:42,17415,685,9733,"#HerbalTinctures,#NoniLand,#Ashwaganda,#adaptogen,#tonic,#superherb,#NoniLand,#NoniRoot,#painkilling,#morphine,#BoomBoomPow,#Organic,#Wildcrafted,#PlantMedicine,#Hollywood,#TheMatrix,#HollywoodLand,#Toronto,#Canada,#Southland,#MexicanAmericanWar,#California,#UnitedStates,#HollywoodSign,#LostCropoftheIncas,#PopenoeBrothers,#MediterraneanClimate,#Glendale,#DowntownLosAngeles,#Sky,#Earth,#HollywoodLakes,#epic,#nextlevel,#organic,#ArribaNacional,#Cacao,#TheBestEver,#Arriba,#cacao,#Ecuador,#cacaopods,#organic,#quality,#RawChocolate,#Planet,#GreatestStoryEverTold,#CacaoBeans,#CacaoNibs,#CacaoPowder,#CacaoButter,#CacaoPaste,#chocolatecoveredCacaoBeans,#chocolatecoveredIncanBerries,#chocolatecoveredCoffeeBeans,#LongevityWarehouse,#Health,#Event,#Berkeley,#California,#RawFoods,#Superfoods,#Superherbs,#Hemp,#CBD,#cannabinoids,#QuestionsAnswered,#BestNightEver,#NutriBullet,#Clover,#GreenVegetableJuice,#SaintPatricksDay,#Oxalis,#FourLeaved,#WhiteClover,#shamrock,#Irish,#delicious,#medicinal,#wild,#edibles,#FourLeafClovers,#FiveLeafClovers,#LeprechaunLogic,#subterranean,#caverns,#California,#freeways,#light,#tunnel,#descendants,#monuments,#hike,#DavidWilcock,#birthday,#universe,#ThePowerOfPositiveThinking,#WinterInLosAngeles,#Nutribullooza,#WestHollywood,#California,#LAMarathon,#NutriBullet,#Spazmatics,#DJSpase,#FreeNutriBlasts,#BestMorningEver,#TheBestTimeEver,#MostFunEver,#PeteHolmesShow,#SpringWater,#GriffithPark,#LosAngeles,#cacti,#VibrationOfLove,#LutherBurbank,#AutobiographyofaYogi,#SanPedro,#Entheogen,#Cactus,#SaintPeter,#GatesofHeaven,#vegan,#NBAChampion,#Oscars,#PeterNygard,#LA,#BestNightEver,#HopsXFactor,#SacredExperience,#CocoNibby,#SacredChocolate,#Homegrown,#RedBellPepper,#CapsicumAnnuum,#BellPeppers,#VitaminC,#Carotenoids,#BetaCarotene,#Lycopene,#Lutein,#Luteolin,#Zeaxanthin,#BeautyNutrients,#VitaminE,#Silicon,#GreenBellPeppers,#fruit,#nightshade,#Peppers,#Caribbean,#Mexico,#Europe,#1493,#chemicalskies,#Tucson,#Arizona,#Airport,#chemtrails,#bigbrother,#toxic,#policestate,#tyranny,#FightThePower,#geoengineering,#TheBestWeekendEver,#MMA,#MattSerra,#NutriBullet,#ChaelSonnen,#LyleLovett,#Bua,#RondaRousey,#heavyweight,#TravisBrowne,#postfight,#UFC,#PressConference,#TheOctagon,#MixedMartialArts,#Organic,#NutriBlast,#CoconutWater,#Spirulina,#Berries,#blueberries,#raspberries,#strawberries,#Banana,#Kale,#Maca,#Mango,#PinkLady,#Apple,#AlmondButter,#LOVE,#TodayIsTheBestDayEver,#California,#Valentine,#MachuPicchu,#SacredChocolate,#GranCaverna,#SacredExperience,#MuchoGusto,#LaGita,#OpenTheHeartDiscoverTheMagic,#juicy,#BloodOrange,#CitrusSinensis,#sanguinem,#CitrusTrees,#fruits,#seasons,#winter,#summer,#Oranges,#EastAsia,#2500BC,#Dravidian,#Sanskrit,#VitaminC,#RDA,#bioflavonoids,#pith,#orange,#subtropical,#desert,#California,#Arizona,#OrangeCounty,#seacave,#TheBestDayEver,#California,#LongevityConference,#MastersWorkshop,#davidwolfe,#doctormercola,#williamdavis,#markrobertwaldman,#daveasprey,#bulletproof,#UCSB,#i3c,#OrmusGold,#SoldOut,#LongevityConference,#Ormus,#Silica,#OrmusGoldMolecule,#BeautyProduct,#DavidWolfe,#MironGlass,#Ormes,#MonoatomicGold,#metallic,#gold,#TheBestDayEver",257,"@cj_blaqkdiamond,@peteholmes,@johnsalley,@sugarlesslife,@karivelasco,@justinbua,@UFC.,@justinbua,@RondaRousey,@cj_blaqkdiamond,@rawsolla,@livinglibations,@christofferinfo,@krystynarobinmc",14
2014-04-09 02:07:07,17832,601,9288,"#BotanicalGardens,#Hawaii,#artform,#organic,#gardens,#landscaping,#Boojum,#BajaCalifornia,#Euphorbia,#cactus,#SaltWaterPools,#Bamboo,#China,#WizardofOz,#RainbowEucalyptus,#Australia,#epiphytic,#StaghornFern,#SouthAmerica,#Africa,#NewGuinea,#BestMorningEver,#Pollinated,#Vanilla,#VanillaPlanifolia,#Vainillas,#Spanish,#VanillaBeans,#HandPollinate,#bees,#Stingless,#Melipona,#orchids,#Veracruz,#Mexico,#VanillaPompona,#SpringWater,#Puna,#Hawaii,#ColdSpring,#Water,#Pahoa,#LavaTreeStatePark,#WaiPuna,#FindASpring,#StayHydrated,#DrinkMoreWater,#NaturesSolutionToPollutioniIsDilution,#WelcomeToTheJungle,#nonprofit,#FruitTreePlantingFoundation,#NaPiko,#HeadQuarters,#Hawaii,#fruit,#nut,#medicinal,#trees,#FTPF,#superhero,#charity,#drumset,#SpringCleaning,#HobbiesAreHealthy,#Percussion,#trapset,#NewOrleans,#SkinnyDipping,#SantaCruz,#California,#WildWater,#BigFoot,#Sasquatch,#BestDayEver,#ByFar,#HerbalTinctures,#NoniLand,#Ashwaganda,#adaptogen,#tonic,#superherb,#NoniLand,#NoniRoot,#painkilling,#morphine,#BoomBoomPow,#Organic,#Wildcrafted,#PlantMedicine,#Hollywood,#TheMatrix,#HollywoodLand,#Toronto,#Canada,#Southland,#MexicanAmericanWar,#California,#UnitedStates,#HollywoodSign,#LostCropoftheIncas,#PopenoeBrothers,#MediterraneanClimate,#Glendale,#DowntownLosAngeles,#Sky,#Earth,#HollywoodLakes,#epic,#nextlevel,#organic,#ArribaNacional,#Cacao,#TheBestEver,#Arriba,#cacao,#Ecuador,#cacaopods,#organic,#quality,#RawChocolate,#Planet,#GreatestStoryEverTold,#CacaoBeans,#CacaoNibs,#CacaoPowder,#CacaoButter,#CacaoPaste,#chocolatecoveredCacaoBeans,#chocolatecoveredIncanBerries,#chocolatecoveredCoffeeBeans,#LongevityWarehouse,#Health,#Event,#Berkeley,#California,#RawFoods,#Superfoods,#Superherbs,#Hemp,#CBD,#cannabinoids,#QuestionsAnswered,#BestNightEver,#NutriBullet,#Clover,#GreenVegetableJuice,#SaintPatricksDay,#Oxalis,#FourLeaved,#WhiteClover,#shamrock,#Irish,#delicious,#medicinal,#wild,#edibles,#FourLeafClovers,#FiveLeafClovers,#LeprechaunLogic,#subterranean,#caverns,#California,#freeways,#light,#tunnel,#descendants,#monuments,#hike,#DavidWilcock,#birthday,#universe,#ThePowerOfPositiveThinking,#WinterInLosAngeles,#Nutribullooza,#WestHollywood,#California,#LAMarathon,#NutriBullet,#Spazmatics,#DJSpase,#FreeNutriBlasts,#BestMorningEver,#TheBestTimeEver,#MostFunEver,#PeteHolmesShow,#SpringWater,#GriffithPark,#LosAngeles,#cacti,#VibrationOfLove,#LutherBurbank,#AutobiographyofaYogi,#SanPedro,#Entheogen,#Cactus,#SaintPeter,#GatesofHeaven,#vegan,#NBAChampion,#Oscars,#PeterNygard,#LA,#BestNightEver,#HopsXFactor,#SacredExperience,#CocoNibby,#SacredChocolate,#Homegrown,#RedBellPepper,#CapsicumAnnuum,#BellPeppers,#VitaminC,#Carotenoids,#BetaCarotene,#Lycopene,#Lutein,#Luteolin,#Zeaxanthin,#BeautyNutrients,#VitaminE,#Silicon,#GreenBellPeppers,#fruit,#nightshade,#Peppers,#Caribbean,#Mexico,#Europe,#1493,#chemicalskies,#Tucson,#Arizona,#Airport,#chemtrails,#bigbrother,#toxic,#policestate,#tyranny,#FightThePower,#geoengineering,#TheBestWeekendEver,#MMA,#MattSerra,#NutriBullet,#ChaelSonnen,#LyleLovett,#Bua,#RondaRousey,#heavyweight,#TravisBrowne,#postfight,#UFC,#PressConference,#TheOctagon,#MixedMartialArts,#TheBestDayEver",256,"@cj_blaqkdiamond,@peteholmes,@johnsalley,@sugarlesslife,@karivelasco,@justinbua,@UFC.,@justinbua,@RondaRousey",9
2014-08-11 18:03:17,21292,876,13255,"#Berserk,#WildWater,#dancing,#Shambhala,#MusicFestival,#BritishColumbia,#Canada,#ReishiBling,#RobinaPlease,#LaGitaOceanJasper,#SensorV,#DevilsClubBearClaw,#OjibweBeads,#Avocado,#Western,#CanadaTour,#robinaplease,#boomarfumar,#happydaysarehereagain,#Tofino,#VancouverIsland,#Summer,#Blueberry,#birthdays,#VanouverIsland,#OrganicBlueberries,#Blueberries,#blue,#purple,#anthocyanin,#color,#pigments,#malvidin,#delphinidin,#detoxify,#cardiovascular,#Blue,#colorpigment,#Nature,#BlueFoods,#ColorCure,#LynnValley,#Headwaters,#SpringWater,#Vancouver,#BritishColumbia,#Canada,#DrinkMoreWater,#WildWater,#HydrationOverMedication,#TapWaterConsciousness,#Vancouver,#HealthEvents,#TadHargrave,#Noorish,#Cafe,#Restaurant,#Edmonton,#Alberta,#Canada,#friends,#Environmentalist,#Marketing,#Guru,#FacebookPage,#MarketingforHippies,#Vancouver,#HealthEvents,#BritishColumbia,#ViktorSchauberger,#JohnsonCanyon,#Alberta,#Canada,#Wild,#Caribou,#Alberta,#Canada,#VelvetAntler,#HealthEvent,#Calgary,#ActivateTheUpgrade,#Vanilla,#Beans,#vine,#HandPollinated,#Vanillas,#Orchids,#fruit,#spice,#VanillaBeans,#NoniLand,#Hawaii,#computer,#yardwork,#harvest,#springwater,#cave,#waters,#PiratesoftheCaribbean4,#Hawaii,#Alii,#WomanCave,#WildWater,#Wild,#OceanGrown,#Coconut,#Abundance,#Puako,#NorthKohala,#BigIslandLove,#Hawaii,#DaKineBrah,#BestCoconutsEver,#AmuletofPower,#Nutmeg,#mace,#Homegrown,#WildFoods,#Papaya,#Noni,#Avocado,#Jamaican,#Lilikoi,#CharapitoPeppers,#Eggplant,#HappyDays,#NoniMan,#Hawaii,#RawFood,#Master,#RonTeeguarden,#LosAngeles,#Daoist,#Immortal,#SanShen,#SpiritoftheMountains,#Daoist,#TonicHerbalism,#China,#West,#Western,#HerbalLore,#HerbHunter,#MedicineMaker,#Saguaro,#Cactus,#Fruit,#Frenzy,#superfood,#TohonoOodham,#superfruit,#SonoranDesert,#SaguaroCactus,#75years,#MajesticTree,#FreshFruit,#DrinkingWater,#blood,#Betalain,#Antioxidants,#Arizona,#Sonoran,#Sun,#OriginalFood,#WildFood,#RawSuperfoods,#ShamanicRealms,#WildBlackRaspberry,#blackberry,#black,#raspberry,#Wild,#BlackRaspberry,#Brambles,#anthocyanin,#heaven,#Lost,#Found,#SpringWater,#IceCold,#bath,#BatheinWildWater,#WildWater,#Marin,#California,#SanFrancisco,#LOVE,#GoldenGate,#California,#NextLevel,#Saguaro,#Cactus,#Fruit,#NutriBlast,#WildFood,#Superfoods,#Betalains,#Blood,#Jing,#Ingredients,#SaguaroFruit,#GojiBerry,#Blueberry,#SpringWater,#BestNutriBlastEver,#TheBestDayEver",206,"@krystynarobinmc,@morgaineb,@morgaineb,@lightcellar,@dragonherbs.",5
2014-10-04 17:58:09,22576,897,13507,"#HulkHogan,#Mom,#BestNightEver,#Hulk,#fresh,#VegetableJuice,#Superfoods,#Mexico,#WomensWellnessConference,#CostaMesa,#California,#1000people,#NorthAmerica,#WomensEvent,#BestWeekendEver,#book,#TheColorCure,#mountains,#LOVE,#BlissLake,#environs,#Laurentians,#Laurentide,#Quebec,#FrenchCanada,#SpringWater,#Chalifeux,#Spring,#Quebec,#CollectAndProtect,#FindASpring,#WildWater,#solution,#pollution,#dilution,#solution,#irritation,#hydration,#BerryBowls,#DonkeyKong,#homegrown,#wild,#Ingredients,#blueberries,#elderberries,#marshmallow,#flowers,#SaintJohnsWort,#violets,#eveningprimrose,#red,#currants,#lovage,#mint,#oliveoil,#birchsyrup,#mugwort,#phycocyanin,#grapeskin,#powder,#gojiberry,#LifeInTheForest,#Ontario,#Canada,#Midnite,#drums,#BuddyRich,#TheColorCure,#LifeInTheForest,#RudolfSteinerIsMyHomeboy,#Apple,#season,#beauties,#NewBook,#ColorCure,#Rudbeckia,#Goldquelle,#GoldDrops,#ColdClimate,#flowers,#FlowerPower,#PomPoms,#BreakfastOnTheFarm,#WildBlueberries,#StJohnsWort,#flowers,#Phycocyanin,#BluePigment,#Spirulina,#GrapeSkins,#Mallow,#Mugwort,#leaf,#EveningPrimrose,#Mint,#LocalHoney,#OliveOil,#LongevityWarehouse,#cashews,#ColorCure,#BerryBowl,#BestBreakfastEver,#NoFarmsNoFun,#Marshmallow,#AltheaOfficinalis,#garden,#mucilage,#roots,#ingredient,#Malvaceae,#family,#delicious,#chewy,#demulcent,#leaves,#flowers,#roots,#Anthocyanin,#color,#pigments,#Malvidin,#home,#summer,#ColorCure,#Colour,#EuellGibbons,#StrangestCreatures,#Mole,#garden,#shovel,#burrow,#soil,#fertility,#Earthworms,#camping,#BritishColumbia,#Canada,#tent,#TheBigLebowski,#TheDudeAbides,#Please,#Berserk,#WildWater,#dancing,#Shambhala,#MusicFestival,#BritishColumbia,#Canada,#ReishiBling,#RobinaPlease,#LaGitaOceanJasper,#SensorV,#DevilsClubBearClaw,#OjibweBeads,#Avocado,#Western,#CanadaTour,#robinaplease,#boomarfumar,#happydaysarehereagain,#Tofino,#VancouverIsland,#Summer,#Blueberry,#birthdays,#VanouverIsland,#OrganicBlueberries,#Blueberries,#blue,#purple,#anthocyanin,#color,#pigments,#malvidin,#delphinidin,#detoxify,#cardiovascular,#Blue,#colorpigment,#Nature,#BlueFoods,#ColorCure,#LynnValley,#Headwaters,#SpringWater,#Vancouver,#BritishColumbia,#Canada,#DrinkMoreWater,#WildWater,#HydrationOverMedication,#TapWaterConsciousness,#Vancouver,#HealthEvents,#TadHargrave,#Noorish,#Cafe,#Restaurant,#Edmonton,#Alberta,#Canada,#friends,#Environmentalist,#Marketing,#Guru,#FacebookPage,#MarketingforHippies,#Vancouver,#HealthEvents,#BritishColumbia,#ViktorSchauberger,#JohnsonCanyon,#Alberta,#Canada,#Wild,#Caribou,#Alberta,#Canada,#VelvetAntler,#HealthEvent,#Calgary,#ActivateTheUpgrade,#Vanilla,#Beans,#vine,#HandPollinated,#Vanillas,#Orchids,#fruit,#spice,#VanillaBeans,#NoniLand,#Hawaii,#TheBestDayEver",234,"@groovedas,@lagitarawgirlintheforest,@groovedas,@detoxdiva,@krystynarobinmc,@groovedas,@detoxdiva,@krystynarobinmc,@gillianmandich,@krystynarobinmc,@krystynarobinmc,@morgaineb,@krystynarobinmc,@morgaineb,@morgaineb,@lightcellar",16
2015-05-07 18:40:57,,,,,,,
2015-05-25 21:15:34,,,,,,,
2015-06-01 13:18:11,,,,,,,
2015-08-16 07:50:50,,,,,,,
2016-06-01 06:27:48,152170,398,17264,"#SpringWater,#FavoriteWaterBottle,#LightningInABottleFestival2016,#California,#MironGlass,#FirstGlassDesigns,#HydrationIsKey,#HydrationOverMedication,#HydrationMeditation,#SunriseDaytonaBeach,#QiRevolution,#ChiGong,#EpicSungaze,#BarefootOnSand,#Prayers,#TheBestDayEver,#IceColdWater,#WildSpringFedLake,#InstantRecharge,#RealElectricity,#WildWater,#Sexy,#TheBestEver,#OntarioCanada,#ForestSunsets,#OntarioCanada,#AppleTree,#DavidAvocadoWolfe,#GorgeousDay,#CanadianShield,#ShockingObservation,#TimeLapsePhotography,#NoCurve,#SeeThingsADifferentWay,#ThinkThingsDifferent,#MorningNutriBlast,#Wild,#BirchSyrup,#XyloseRich,#Xylitol,#LocalWild,#BirchBarkPowder,#SuperImmune,#Betulin,#LocalWild,#Chaga,#Reishi,#DeerPolypore,#BirchPolypore,#SpringWaterTea,#LocalWild,#BirchWater,#HydratingSap,#BirchTrees,#ChagaNettleHorsetail,#Tincture,#FrozenOrganicCranberries,#FrozenOrganicBlueberries,#NutriBulletRx,#JohnSteinbeck,#AutumnSkyeMorrison,#QuestionEverythingAlways,#DavidAvocadoWolfe,#EarthDay,#WildGarterSnake,#BirchTrees,#XyloseRich,#BirchWater,#TreeHydration,#SurfactantMagic,#40YearOldGlassBottles,#WildForest,#FlatEarthDay,#HollowEarthDay,#ConvexEarthDay,#BallEarthNoWay,#SouthAfrica,#BaobabFruits,#Peru,#BaobabFruit,#TangyPowder,#FruitPowder,#VitaminC,#GoodCalcium,#Magnesium,#Iron,#Potassium,#BaobabPowder,#Thickener,#smoothies,#beverages,#icecreams,#elixirs,#BaobabTrees,#longlived,#BaobabTrees,#ThousandYears,#MiAmorLosAndes,#Peru2016,#DavidWolfeAdventures,#DWAPeru,#MachuPicchuMountain,#ShamansCrew,#Kucho,#JesusEagle,#DWAPeru,#DavidWolfeAdventures,#ExtraordinaryVarieties,#SacredCorn,#Peru,#SacredValley,#Urubamba,#ColorArrangements,#Flavonoids,#Anthocyanins,#Tannins,#Carotenoids,#Lutein,#Zeaxanthin,#CornKernel,#StopMonsatan,#EndGMOCorn,#ChildrenOfTheRealCorn,#ColorCure,#TheBestDayEver",125,"@thenutribullet,@antoniadeluca,@rebeccastuchen,@deeplove777",4
