account name,total number of wayback mementos between (2013 and mid 2019),wayback loadable mementos,total number of mementos archive.is,loadable archive_is mementos between 2019-2023,Total Loadable Mementos,Total Mementos
robertfkennedyjr,0,0,23,21,21,23
childrenshealthdefense,0,0,2,2,2,2
londonrealtv,13,7,0,0,7,13
westonaprice,0,0,1,0,0,1
vaccinefreedom,0,0,1,0,0,1
picphysicians,0,0,0,0,0,0
highwiretalk,0,0,2,1,1,2
drbuttar,0,0,0,0,0,0
patrickbetdavid,23,6,1,0,6,24
valuetainment,0,0,0,0,0,0
